日付,商品名,カテゴリ,担当者,地域,数量,売上金額,利益率(%)
2024-03-17,設置・導入工事,工事,石田 麻衣,広島,1,234750,62.5
2024-03-18,設置・導入工事,工事,高橋 剛,静岡,2,410846,61.8
2024-03-19,年間保守（標準）,保守,山本 直美,静岡,2,119976,78.3
2024-03-21,産業用センサー（標準）,ハードウェア,山本 直美,静岡,1,98092,41.7
2024-03-23,産業用センサー（高精度）,ハードウェア,高橋 剛,広島,2,759786,48.5
2024-03-23,産業用センサー（標準）,ハードウェア,山本 直美,北九州,5,731331,45.0
2024-03-25,産業用センサー（標準）,ハードウェア,山本 直美,広島,3,295362,48.5
2024-03-28,産業用センサー（高精度）,ハードウェア,前田 浩,神奈川,3,867065,50.4
2024-03-28,制御ユニット,ハードウェア,山本 直美,神奈川,1,494866,45.7
2024-04-01,IoTゲートウェイ,ハードウェア,前田 浩,愛知,2,320327,55.2
2024-04-02,産業用センサー（高精度）,ハードウェア,高橋 剛,神奈川,5,1790644,46.7
2024-04-03,交換部品・消耗品,部品,石田 麻衣,静岡,20,267085,38.8
2024-04-03,交換部品・消耗品,部品,藤田 誠,静岡,2,29842,39.2
2024-04-05,産業用センサー（高精度）,ハードウェア,高橋 剛,愛知,3,711975,51.0
2024-04-05,クラウド監視サービス,SaaS,山本 直美,神奈川,1,37076,75.2
2024-04-08,交換部品・消耗品,部品,高橋 剛,広島,10,141222,38.9
2024-04-10,産業用センサー（標準）,ハードウェア,藤田 誠,愛知,1,139776,47.9
2024-04-11,年間保守（プレミアム）,保守,高橋 剛,静岡,1,175375,81.3
2024-04-12,産業用センサー（高精度）,ハードウェア,藤田 誠,愛知,3,1275428,47.3
2024-04-12,産業用センサー（標準）,ハードウェア,高橋 剛,神奈川,3,308520,43.8
2024-04-14,交換部品・消耗品,部品,前田 浩,神奈川,2,27645,38.5
2024-04-15,クラウド監視サービス,SaaS,山本 直美,神奈川,5,340023,74.7
2024-04-16,年間保守（プレミアム）,保守,前田 浩,広島,2,263531,81.9
2024-04-17,産業用センサー（標準）,ハードウェア,石田 麻衣,静岡,1,67342,47.1
2024-04-22,産業用センサー（高精度）,ハードウェア,石田 麻衣,北九州,3,865033,47.7
2024-04-23,産業用センサー（高精度）,ハードウェア,石田 麻衣,広島,3,847788,51.2
2024-04-23,産業用センサー（高精度）,ハードウェア,山本 直美,北九州,4,1383843,51.0
2024-04-24,設置・導入工事,工事,山本 直美,北九州,2,416983,63.0
2024-04-24,年間保守（プレミアム）,保守,石田 麻衣,神奈川,2,197769,82.1
2024-04-24,年間保守（プレミアム）,保守,藤田 誠,静岡,1,151486,80.8
2024-04-25,産業用センサー（標準）,ハードウェア,前田 浩,愛知,5,626782,43.6
2024-04-28,産業用センサー（標準）,ハードウェア,高橋 剛,北九州,3,455003,41.2
2024-05-02,年間保守（標準）,保守,高橋 剛,広島,1,69977,78.0
2024-05-03,交換部品・消耗品,部品,山本 直美,広島,10,211832,36.6
2024-05-05,産業用センサー（標準）,ハードウェア,高橋 剛,静岡,2,137469,44.5
2024-05-05,クラウド監視サービス,SaaS,山本 直美,大阪,1,74057,76.0
2024-05-08,制御ユニット,ハードウェア,山本 直美,静岡,5,2287123,50.6
2024-05-09,産業用センサー（標準）,ハードウェア,前田 浩,広島,4,291755,47.1
2024-05-09,交換部品・消耗品,部品,高橋 剛,愛知,12,258818,39.1
2024-05-11,IoTゲートウェイ,ハードウェア,石田 麻衣,北九州,2,330283,52.0
2024-05-14,クラウド監視サービス,SaaS,藤田 誠,愛知,4,207570,74.4
2024-05-15,設置・導入工事,工事,山本 直美,神奈川,5,1044782,61.3
2024-05-19,産業用センサー（高精度）,ハードウェア,前田 浩,愛知,1,389874,48.0
2024-05-22,産業用センサー（標準）,ハードウェア,山本 直美,北九州,2,171787,41.4
2024-05-24,交換部品・消耗品,部品,前田 浩,北九州,6,159509,40.3
2024-05-25,産業用センサー（標準）,ハードウェア,藤田 誠,大阪,3,280514,46.4
2024-05-27,産業用センサー（高精度）,ハードウェア,石田 麻衣,大阪,5,1260818,49.0
2024-05-28,年間保守（プレミアム）,保守,高橋 剛,神奈川,4,705556,81.5
2024-06-04,制御ユニット,ハードウェア,藤田 誠,大阪,2,625988,50.5
2024-06-04,クラウド監視サービス,SaaS,高橋 剛,静岡,4,171553,76.1
2024-06-04,年間保守（プレミアム）,保守,藤田 誠,大阪,5,605859,82.3
2024-06-04,交換部品・消耗品,部品,石田 麻衣,北九州,10,268745,40.7
2024-06-07,年間保守（標準）,保守,山本 直美,北九州,5,274979,79.5
2024-06-10,クラウド監視サービス,SaaS,前田 浩,愛知,1,71981,75.2
2024-06-10,産業用センサー（高精度）,ハードウェア,山本 直美,静岡,4,1480437,50.6
2024-06-12,産業用センサー（標準）,ハードウェア,高橋 剛,愛知,1,125528,42.9
2024-06-13,産業用センサー（標準）,ハードウェア,石田 麻衣,静岡,1,132785,48.4
2024-06-14,産業用センサー（標準）,ハードウェア,藤田 誠,広島,1,80581,41.2
2024-06-15,産業用センサー（標準）,ハードウェア,石田 麻衣,北九州,4,377151,42.5
2024-06-15,産業用センサー（標準）,ハードウェア,石田 麻衣,広島,1,126668,42.0
2024-06-20,設置・導入工事,工事,石田 麻衣,愛知,3,729135,62.7
2024-06-20,産業用センサー（標準）,ハードウェア,前田 浩,愛知,4,415111,44.5
2024-06-21,産業用センサー（高精度）,ハードウェア,山本 直美,愛知,3,881657,50.1
2024-06-22,IoTゲートウェイ,ハードウェア,山本 直美,大阪,4,929295,49.7
2024-06-22,クラウド監視サービス,SaaS,高橋 剛,広島,4,220687,76.6
2024-06-22,交換部品・消耗品,部品,藤田 誠,愛知,19,417751,40.3
2024-06-23,設置・導入工事,工事,前田 浩,大阪,2,474110,61.7
2024-06-25,IoTゲートウェイ,ハードウェア,石田 麻衣,神奈川,1,155182,54.2
2024-07-01,IoTゲートウェイ,ハードウェア,石田 麻衣,愛知,4,538252,51.2
2024-07-03,交換部品・消耗品,部品,高橋 剛,広島,3,44703,43.3
2024-07-03,年間保守（プレミアム）,保守,山本 直美,北九州,3,286919,80.8
2024-07-03,年間保守（標準）,保守,前田 浩,大阪,1,58480,77.3
2024-07-06,制御ユニット,ハードウェア,石田 麻衣,大阪,5,1706406,47.6
2024-07-08,クラウド監視サービス,SaaS,藤田 誠,静岡,3,149762,75.9
2024-07-10,交換部品・消耗品,部品,藤田 誠,静岡,20,433087,40.0
2024-07-11,IoTゲートウェイ,ハードウェア,山本 直美,愛知,3,365465,52.4
2024-07-12,年間保守（標準）,保守,石田 麻衣,広島,1,67583,79.5
2024-07-14,年間保守（標準）,保守,山本 直美,北九州,1,64264,77.3
2024-07-14,産業用センサー（高精度）,ハードウェア,高橋 剛,愛知,4,765762,48.0
2024-07-17,年間保守（プレミアム）,保守,前田 浩,愛知,5,686565,81.1
2024-07-18,設置・導入工事,工事,高橋 剛,広島,1,320901,63.8
2024-07-19,交換部品・消耗品,部品,石田 麻衣,静岡,20,334414,40.9
2024-07-22,産業用センサー（標準）,ハードウェア,石田 麻衣,北九州,3,265908,44.1
2024-07-23,IoTゲートウェイ,ハードウェア,山本 直美,広島,2,299775,51.5
2024-07-26,設置・導入工事,工事,山本 直美,広島,4,682606,60.0
2024-07-26,産業用センサー（高精度）,ハードウェア,山本 直美,静岡,3,753747,47.2
2024-07-28,産業用センサー（高精度）,ハードウェア,石田 麻衣,愛知,5,1041279,47.9
2024-08-02,産業用センサー（標準）,ハードウェア,高橋 剛,静岡,5,423196,46.4
2024-08-02,産業用センサー（高精度）,ハードウェア,前田 浩,神奈川,1,269504,51.4
2024-08-03,制御ユニット,ハードウェア,石田 麻衣,神奈川,3,1081800,47.8
2024-08-04,年間保守（標準）,保守,前田 浩,広島,4,202548,78.1
2024-08-04,交換部品・消耗品,部品,山本 直美,神奈川,17,275746,42.6
2024-08-08,産業用センサー（標準）,ハードウェア,前田 浩,愛知,5,443381,43.9
2024-08-09,年間保守（標準）,保守,藤田 誠,広島,4,239134,78.4
2024-08-10,交換部品・消耗品,部品,高橋 剛,神奈川,2,46033,39.1
2024-08-10,産業用センサー（標準）,ハードウェア,石田 麻衣,大阪,4,331606,41.4
2024-08-11,産業用センサー（高精度）,ハードウェア,高橋 剛,愛知,3,1101843,53.4
2024-08-13,交換部品・消耗品,部品,高橋 剛,広島,15,346603,43.9
2024-08-15,交換部品・消耗品,部品,高橋 剛,静岡,6,137756,43.0
2024-08-16,産業用センサー（標準）,ハードウェア,石田 麻衣,広島,3,310547,41.7
2024-08-22,産業用センサー（標準）,ハードウェア,高橋 剛,広島,5,744082,45.6
2024-08-24,産業用センサー（標準）,ハードウェア,山本 直美,神奈川,3,385837,47.3
2024-08-24,年間保守（標準）,保守,藤田 誠,神奈川,1,91788,78.5
2024-08-26,年間保守（プレミアム）,保守,石田 麻衣,大阪,3,352927,82.6
2024-08-26,産業用センサー（高精度）,ハードウェア,前田 浩,神奈川,3,1059559,52.1
2024-08-26,年間保守（標準）,保守,藤田 誠,広島,2,147509,76.7
2024-09-01,年間保守（標準）,保守,石田 麻衣,静岡,1,90626,78.1
2024-09-03,年間保守（プレミアム）,保守,山本 直美,静岡,2,207298,82.1
2024-09-04,制御ユニット,ハードウェア,山本 直美,広島,5,2810541,47.1
2024-09-05,年間保守（標準）,保守,藤田 誠,大阪,4,340768,77.8
2024-09-05,制御ユニット,ハードウェア,山本 直美,神奈川,2,684666,48.3
2024-09-08,年間保守（標準）,保守,石田 麻衣,愛知,5,374153,79.5
2024-09-08,交換部品・消耗品,部品,藤田 誠,大阪,13,199349,37.6
2024-09-09,クラウド監視サービス,SaaS,高橋 剛,静岡,4,206515,73.8
2024-09-09,クラウド監視サービス,SaaS,山本 直美,愛知,1,72555,75.8
2024-09-12,設置・導入工事,工事,石田 麻衣,静岡,1,201552,62.0
2024-09-13,年間保守（標準）,保守,高橋 剛,神奈川,2,143947,77.4
2024-09-14,年間保守（標準）,保守,山本 直美,北九州,4,366226,76.9
2024-09-16,交換部品・消耗品,部品,高橋 剛,静岡,7,102003,42.4
2024-09-16,制御ユニット,ハードウェア,藤田 誠,神奈川,3,1045545,45.6
2024-09-17,産業用センサー（高精度）,ハードウェア,石田 麻衣,愛知,3,1202087,49.0
2024-09-19,交換部品・消耗品,部品,前田 浩,広島,4,104258,37.8
2024-09-21,設置・導入工事,工事,石田 麻衣,北九州,3,1058615,63.6
2024-09-22,交換部品・消耗品,部品,藤田 誠,神奈川,17,273163,40.7
2024-09-25,クラウド監視サービス,SaaS,藤田 誠,北九州,4,178174,74.8
2024-09-25,年間保守（標準）,保守,山本 直美,愛知,2,173567,77.1
2024-09-28,制御ユニット,ハードウェア,前田 浩,大阪,5,1596430,46.6
2024-10-01,年間保守（標準）,保守,藤田 誠,大阪,4,348990,78.3
2024-10-03,制御ユニット,ハードウェア,藤田 誠,愛知,2,696203,50.1
2024-10-03,クラウド監視サービス,SaaS,高橋 剛,静岡,5,207544,76.3
2024-10-07,産業用センサー（標準）,ハードウェア,藤田 誠,北九州,5,684089,44.9
2024-10-09,設置・導入工事,工事,前田 浩,北九州,2,630650,61.2
2024-10-10,クラウド監視サービス,SaaS,山本 直美,広島,3,212672,73.7
2024-10-10,産業用センサー（標準）,ハードウェア,山本 直美,広島,1,76724,47.9
2024-10-12,交換部品・消耗品,部品,高橋 剛,愛知,16,361092,41.3
2024-10-12,年間保守（標準）,保守,山本 直美,北九州,2,198315,78.2
2024-10-12,年間保守（標準）,保守,山本 直美,大阪,5,524055,78.1
2024-10-13,設置・導入工事,工事,山本 直美,大阪,3,686940,62.2
2024-10-15,産業用センサー（標準）,ハードウェア,石田 麻衣,愛知,4,599624,46.5
2024-10-15,制御ユニット,ハードウェア,石田 麻衣,大阪,3,855971,45.0
2024-10-18,年間保守（プレミアム）,保守,山本 直美,神奈川,2,366028,82.5
2024-10-19,産業用センサー（高精度）,ハードウェア,石田 麻衣,神奈川,3,823876,50.8
2024-10-20,制御ユニット,ハードウェア,高橋 剛,大阪,5,2741452,47.5
2024-10-22,年間保守（プレミアム）,保守,山本 直美,大阪,1,137731,81.9
2024-10-22,設置・導入工事,工事,山本 直美,神奈川,4,907084,60.8
2024-10-22,設置・導入工事,工事,前田 浩,北九州,1,231455,60.9
2024-10-23,制御ユニット,ハードウェア,藤田 誠,静岡,5,1611387,50.2
2024-10-24,産業用センサー（標準）,ハードウェア,山本 直美,静岡,1,136375,43.5
2024-10-27,年間保守（プレミアム）,保守,高橋 剛,神奈川,1,134988,81.2
2024-10-27,交換部品・消耗品,部品,石田 麻衣,愛知,6,90413,40.5
2024-11-03,年間保守（プレミアム）,保守,前田 浩,愛知,5,680451,81.6
2024-11-06,交換部品・消耗品,部品,藤田 誠,愛知,12,199635,42.2
2024-11-06,年間保守（プレミアム）,保守,石田 麻衣,大阪,2,290761,83.1
2024-11-07,クラウド監視サービス,SaaS,前田 浩,大阪,5,247550,75.5
2024-11-09,IoTゲートウェイ,ハードウェア,石田 麻衣,大阪,5,1095069,53.8
2024-11-11,産業用センサー（高精度）,ハードウェア,高橋 剛,静岡,3,1070226,47.8
2024-11-11,制御ユニット,ハードウェア,高橋 剛,静岡,2,1102969,49.5
2024-11-12,年間保守（標準）,保守,前田 浩,広島,3,310801,79.3
2024-11-13,交換部品・消耗品,部品,高橋 剛,広島,3,36399,37.6
2024-11-16,産業用センサー（標準）,ハードウェア,石田 麻衣,神奈川,2,198664,41.3
2024-11-18,設置・導入工事,工事,高橋 剛,広島,3,655403,59.8
2024-11-19,産業用センサー（高精度）,ハードウェア,前田 浩,愛知,1,207742,48.7
2024-11-20,産業用センサー（高精度）,ハードウェア,高橋 剛,静岡,1,367518,48.6
2024-11-20,交換部品・消耗品,部品,山本 直美,広島,16,403215,39.9
2024-11-26,制御ユニット,ハードウェア,前田 浩,広島,1,302037,46.1
2024-11-28,年間保守（標準）,保守,山本 直美,神奈川,5,352568,77.5
2024-12-03,制御ユニット,ハードウェア,前田 浩,大阪,4,2267513,49.7
2024-12-05,IoTゲートウェイ,ハードウェア,前田 浩,静岡,4,800675,51.6
2024-12-07,産業用センサー（標準）,ハードウェア,藤田 誠,大阪,5,748228,47.0
2024-12-07,設置・導入工事,工事,石田 麻衣,静岡,4,747635,61.8
2024-12-07,産業用センサー（高精度）,ハードウェア,前田 浩,広島,1,234677,48.7
2024-12-08,設置・導入工事,工事,石田 麻衣,北九州,3,628750,62.7
2024-12-10,産業用センサー（標準）,ハードウェア,高橋 剛,愛知,3,217332,44.2
2024-12-11,設置・導入工事,工事,前田 浩,広島,2,325818,62.8
2024-12-14,産業用センサー（標準）,ハードウェア,石田 麻衣,神奈川,5,725947,42.1
2024-12-15,交換部品・消耗品,部品,山本 直美,神奈川,2,42743,41.3
2024-12-16,年間保守（標準）,保守,高橋 剛,北九州,3,258748,78.8
2024-12-23,産業用センサー（標準）,ハードウェア,石田 麻衣,北九州,2,198856,41.5
2024-12-23,年間保守（プレミアム）,保守,山本 直美,大阪,1,138378,81.9
2024-12-26,産業用センサー（標準）,ハードウェア,前田 浩,広島,4,484697,42.7
