日付,商品名,カテゴリ,担当者,地域,数量,売上金額,利益率(%)
2023-02-21,包装・資材,資材,中村 幸子,広島,1,16060,44.1
2023-02-22,日用品,日用品,岡田 太郎,岡山,62,215996,43.2
2023-02-23,地域特産品,特産品,中村 幸子,鳥取,8,126677,59.7
2023-02-25,日用品,日用品,西村 拓,岡山,78,270412,44.9
2023-03-03,食品・飲料,食品,中村 幸子,鳥取,51,176308,37.5
2023-03-06,地域特産品,特産品,松田 恵,岡山,9,118366,61.1
2023-03-06,地域特産品,特産品,西村 拓,広島,9,119961,59.5
2023-03-09,食品・飲料,食品,松田 恵,広島,72,244322,38.8
2023-03-10,地域特産品,特産品,松田 恵,島根,3,32670,61.0
2023-03-10,農産物（直送）,食品,本田 一郎,鳥取,30,195785,54.2
2023-03-11,日用品,日用品,本田 一郎,山口,81,290680,42.4
2023-03-12,業務用食材,食品,本田 一郎,広島,3,73867,45.5
2023-03-16,電化製品,家電,本田 一郎,山口,7,296228,47.0
2023-03-19,地域特産品,特産品,中村 幸子,島根,7,108895,60.6
2023-03-19,日用品,日用品,松田 恵,広島,53,134379,43.7
2023-03-20,電化製品,家電,西村 拓,鳥取,6,238399,45.7
2023-03-23,地域特産品,特産品,松田 恵,岡山,5,46189,62.3
2023-03-26,日用品,日用品,中村 幸子,鳥取,39,104395,45.2
2023-03-28,食品・飲料,食品,岡田 太郎,鳥取,10,28115,34.3
2023-03-28,農産物（直送）,食品,松田 恵,山口,6,48758,52.7
2023-03-28,農産物（直送）,食品,本田 一郎,広島,33,309717,55.8
2023-03-28,業務用食材,食品,岡田 太郎,岡山,6,142815,47.2
2023-04-01,電化製品,家電,松田 恵,広島,10,427906,41.8
2023-04-02,食品・飲料,食品,本田 一郎,広島,62,282222,36.7
2023-04-02,地域特産品,特産品,岡田 太郎,鳥取,6,68056,60.9
2023-04-06,地域特産品,特産品,西村 拓,島根,4,47151,60.2
2023-04-11,食品・飲料,食品,岡田 太郎,鳥取,67,204649,37.2
2023-04-11,食品・飲料,食品,松田 恵,岡山,98,413685,39.3
2023-04-12,包装・資材,資材,岡田 太郎,島根,9,142266,43.5
2023-04-18,業務用食材,食品,中村 幸子,島根,2,44322,46.3
2023-04-20,日用品,日用品,松田 恵,島根,59,161267,41.9
2023-04-23,日用品,日用品,西村 拓,島根,84,288347,40.6
2023-04-24,業務用食材,食品,岡田 太郎,岡山,3,62978,48.5
2023-04-24,業務用食材,食品,岡田 太郎,島根,2,50966,47.5
2023-04-26,食品・飲料,食品,岡田 太郎,岡山,40,135490,40.6
2023-04-26,包装・資材,資材,松田 恵,鳥取,5,82206,41.7
2023-05-02,地域特産品,特産品,松田 恵,山口,4,39317,58.2
2023-05-02,日用品,日用品,松田 恵,島根,51,113180,42.6
2023-05-03,電化製品,家電,本田 一郎,鳥取,5,191966,46.7
2023-05-16,電化製品,家電,西村 拓,岡山,9,318398,42.4
2023-05-17,食品・飲料,食品,松田 恵,鳥取,28,100267,37.4
2023-05-18,食品・飲料,食品,西村 拓,島根,31,109509,39.5
2023-05-19,地域特産品,特産品,本田 一郎,岡山,8,77528,61.3
2023-05-19,電化製品,家電,西村 拓,島根,4,241456,47.6
2023-05-22,地域特産品,特産品,本田 一郎,岡山,5,66663,58.4
2023-05-22,日用品,日用品,本田 一郎,広島,77,165648,39.7
2023-05-23,業務用食材,食品,西村 拓,岡山,3,103618,46.7
2023-05-25,農産物（直送）,食品,松田 恵,島根,63,505307,54.5
2023-05-27,農産物（直送）,食品,松田 恵,島根,6,57675,55.0
2023-05-27,業務用食材,食品,中村 幸子,鳥取,7,198334,45.6
2023-05-28,包装・資材,資材,本田 一郎,鳥取,8,148660,38.3
2023-06-01,電化製品,家電,西村 拓,岡山,2,104078,48.4
2023-06-04,包装・資材,資材,松田 恵,島根,4,73880,41.6
2023-06-05,地域特産品,特産品,松田 恵,岡山,6,74446,59.0
2023-06-12,業務用食材,食品,中村 幸子,広島,2,58507,49.4
2023-06-13,食品・飲料,食品,岡田 太郎,広島,31,103556,38.5
2023-06-13,地域特産品,特産品,本田 一郎,島根,9,92629,61.9
2023-06-14,電化製品,家電,中村 幸子,鳥取,6,242189,45.9
2023-06-14,食品・飲料,食品,中村 幸子,岡山,25,124182,39.7
2023-06-16,地域特産品,特産品,本田 一郎,岡山,2,24539,59.9
2023-06-16,業務用食材,食品,岡田 太郎,広島,8,261765,44.5
2023-06-17,業務用食材,食品,中村 幸子,鳥取,5,101036,51.2
2023-06-19,包装・資材,資材,松田 恵,山口,3,70981,42.7
2023-06-19,電化製品,家電,松田 恵,山口,2,100006,46.4
2023-06-20,食品・飲料,食品,岡田 太郎,山口,15,56015,36.3
2023-06-23,地域特産品,特産品,本田 一郎,岡山,2,28775,60.9
2023-06-24,食品・飲料,食品,中村 幸子,岡山,83,271808,37.0
2023-06-24,電化製品,家電,西村 拓,広島,5,287588,48.6
2023-07-01,日用品,日用品,西村 拓,岡山,46,146829,39.7
2023-07-02,日用品,日用品,西村 拓,山口,36,108543,44.6
2023-07-05,業務用食材,食品,中村 幸子,広島,1,25317,45.0
2023-07-08,業務用食材,食品,松田 恵,鳥取,2,66641,44.6
2023-07-09,日用品,日用品,中村 幸子,広島,55,204472,45.0
2023-07-11,地域特産品,特産品,松田 恵,広島,2,24206,57.4
2023-07-15,包装・資材,資材,本田 一郎,岡山,9,176738,43.7
2023-07-16,日用品,日用品,松田 恵,島根,96,259776,42.0
2023-07-17,食品・飲料,食品,本田 一郎,鳥取,11,29339,38.3
2023-07-17,食品・飲料,食品,松田 恵,山口,10,34651,35.8
2023-07-19,農産物（直送）,食品,本田 一郎,鳥取,86,607599,57.3
2023-07-22,農産物（直送）,食品,本田 一郎,岡山,37,313105,58.1
2023-07-24,地域特産品,特産品,西村 拓,山口,6,65988,59.6
2023-07-25,地域特産品,特産品,中村 幸子,島根,6,76501,61.4
2023-07-26,食品・飲料,食品,西村 拓,島根,38,118327,35.1
2023-07-27,食品・飲料,食品,本田 一郎,山口,34,89047,36.6
2023-08-01,食品・飲料,食品,西村 拓,島根,33,107224,41.2
2023-08-07,地域特産品,特産品,中村 幸子,山口,7,67627,57.9
2023-08-09,食品・飲料,食品,本田 一郎,広島,52,244459,40.6
2023-08-11,日用品,日用品,西村 拓,島根,27,87151,40.4
2023-08-11,包装・資材,資材,中村 幸子,岡山,7,133026,40.5
2023-08-15,農産物（直送）,食品,本田 一郎,岡山,16,169235,55.4
2023-08-16,農産物（直送）,食品,岡田 太郎,山口,40,340493,51.9
2023-08-17,日用品,日用品,西村 拓,鳥取,67,150674,45.8
2023-08-18,食品・飲料,食品,松田 恵,広島,36,96502,39.0
2023-08-18,農産物（直送）,食品,岡田 太郎,山口,45,285674,54.4
2023-08-19,地域特産品,特産品,中村 幸子,広島,6,101383,58.0
2023-08-20,包装・資材,資材,中村 幸子,島根,10,162897,40.0
2023-08-24,食品・飲料,食品,本田 一郎,島根,93,317031,33.7
2023-08-26,電化製品,家電,岡田 太郎,広島,9,384684,42.8
2023-08-26,包装・資材,資材,本田 一郎,岡山,4,73307,35.9
2023-08-26,包装・資材,資材,松田 恵,島根,10,145988,40.1
2023-09-03,地域特産品,特産品,西村 拓,鳥取,6,63556,61.6
2023-09-06,食品・飲料,食品,松田 恵,岡山,38,140404,37.6
2023-09-08,農産物（直送）,食品,松田 恵,山口,92,860114,52.5
2023-09-09,電化製品,家電,岡田 太郎,広島,8,329857,43.5
2023-09-12,食品・飲料,食品,本田 一郎,鳥取,75,236520,35.2
2023-09-13,地域特産品,特産品,中村 幸子,山口,5,55718,60.7
2023-09-14,包装・資材,資材,本田 一郎,鳥取,4,66849,37.3
2023-09-14,業務用食材,食品,中村 幸子,島根,10,273385,50.5
2023-09-15,地域特産品,特産品,松田 恵,岡山,2,26215,60.0
2023-09-18,食品・飲料,食品,松田 恵,島根,45,128288,39.9
2023-09-19,日用品,日用品,中村 幸子,岡山,17,39986,39.6
2023-09-19,食品・飲料,食品,中村 幸子,島根,74,196954,39.0
2023-09-20,地域特産品,特産品,中村 幸子,広島,9,101697,60.3
2023-09-21,農産物（直送）,食品,西村 拓,広島,17,114866,57.4
2023-09-24,食品・飲料,食品,岡田 太郎,山口,29,105412,39.8
2023-10-02,業務用食材,食品,岡田 太郎,鳥取,3,77889,46.7
2023-10-04,業務用食材,食品,松田 恵,岡山,10,228891,47.4
2023-10-07,業務用食材,食品,松田 恵,鳥取,7,185898,45.3
2023-10-08,日用品,日用品,中村 幸子,山口,67,208951,42.5
2023-10-09,日用品,日用品,松田 恵,岡山,78,190908,40.5
2023-10-13,地域特産品,特産品,松田 恵,広島,5,52016,57.2
2023-10-13,農産物（直送）,食品,西村 拓,鳥取,96,938974,55.2
2023-10-15,農産物（直送）,食品,本田 一郎,山口,30,251786,56.4
2023-10-16,業務用食材,食品,岡田 太郎,鳥取,2,39211,45.3
2023-10-16,電化製品,家電,西村 拓,山口,6,238911,42.6
2023-10-17,地域特産品,特産品,西村 拓,島根,7,104364,59.4
2023-10-17,業務用食材,食品,松田 恵,岡山,3,68041,47.8
2023-10-21,業務用食材,食品,中村 幸子,島根,1,34846,50.0
2023-10-21,日用品,日用品,西村 拓,山口,13,34313,40.3
2023-10-22,業務用食材,食品,中村 幸子,山口,4,124365,47.9
2023-10-23,農産物（直送）,食品,本田 一郎,山口,25,177317,57.8
2023-10-26,地域特産品,特産品,西村 拓,島根,2,34046,57.9
2023-11-02,業務用食材,食品,中村 幸子,岡山,7,166326,49.1
2023-11-04,地域特産品,特産品,岡田 太郎,山口,1,12353,58.9
2023-11-11,食品・飲料,食品,松田 恵,岡山,63,275830,34.5
2023-11-13,日用品,日用品,岡田 太郎,島根,49,111193,45.5
2023-11-13,地域特産品,特産品,松田 恵,鳥取,10,116639,62.6
2023-11-14,食品・飲料,食品,松田 恵,鳥取,7,22286,40.1
2023-11-16,日用品,日用品,西村 拓,島根,92,294296,44.7
2023-11-17,食品・飲料,食品,中村 幸子,広島,6,21890,36.9
2023-11-21,日用品,日用品,岡田 太郎,島根,20,61971,45.5
2023-11-21,食品・飲料,食品,西村 拓,島根,88,317102,37.2
2023-11-23,包装・資材,資材,中村 幸子,広島,8,172284,38.9
2023-11-24,地域特産品,特産品,西村 拓,鳥取,2,25659,60.9
2023-11-24,日用品,日用品,中村 幸子,岡山,56,165608,41.3
2023-11-24,農産物（直送）,食品,西村 拓,島根,42,303621,57.0
2023-11-25,食品・飲料,食品,中村 幸子,島根,5,15819,38.1
2023-11-26,電化製品,家電,本田 一郎,鳥取,9,450850,47.3
2023-12-02,業務用食材,食品,岡田 太郎,鳥取,6,214204,46.6
2023-12-02,食品・飲料,食品,岡田 太郎,岡山,35,105386,39.1
2023-12-06,日用品,日用品,岡田 太郎,鳥取,76,276924,39.0
2023-12-09,業務用食材,食品,松田 恵,鳥取,7,187595,46.9
2023-12-11,食品・飲料,食品,松田 恵,広島,42,132711,35.8
2023-12-15,電化製品,家電,西村 拓,山口,2,107074,48.1
2023-12-15,食品・飲料,食品,岡田 太郎,山口,89,407753,41.5
2023-12-16,日用品,日用品,本田 一郎,鳥取,8,22081,45.5
2023-12-18,地域特産品,特産品,本田 一郎,広島,7,89882,57.4
2023-12-19,業務用食材,食品,松田 恵,島根,1,26070,50.3
2023-12-19,農産物（直送）,食品,岡田 太郎,岡山,91,811497,53.9
2023-12-24,日用品,日用品,中村 幸子,鳥取,94,215437,40.6
2023-12-27,電化製品,家電,岡田 太郎,鳥取,1,41210,48.2
2023-12-28,業務用食材,食品,松田 恵,鳥取,8,191170,44.5
2024-01-02,業務用食材,食品,中村 幸子,鳥取,8,163144,46.1
2024-01-02,包装・資材,資材,中村 幸子,鳥取,9,148020,38.2
2024-01-02,食品・飲料,食品,中村 幸子,山口,53,196638,40.9
2024-01-17,業務用食材,食品,西村 拓,広島,4,132282,48.8
2024-01-18,日用品,日用品,本田 一郎,山口,12,36132,45.2
2024-01-20,日用品,日用品,西村 拓,山口,75,277473,45.0
2024-01-21,地域特産品,特産品,西村 拓,広島,3,49729,59.7
2024-01-23,業務用食材,食品,中村 幸子,山口,7,145103,49.1
2024-01-24,日用品,日用品,岡田 太郎,山口,22,80006,41.6
2024-01-24,農産物（直送）,食品,本田 一郎,島根,22,252703,52.9
2024-01-25,農産物（直送）,食品,中村 幸子,広島,51,470958,52.9
2024-01-27,電化製品,家電,中村 幸子,広島,3,111649,44.2
2024-01-27,農産物（直送）,食品,岡田 太郎,山口,95,1077507,55.5
2024-01-27,地域特産品,特産品,岡田 太郎,広島,7,89486,60.3
2024-01-28,地域特産品,特産品,松田 恵,岡山,10,118762,58.4
2024-02-03,包装・資材,資材,西村 拓,広島,9,127700,39.3
2024-02-03,地域特産品,特産品,本田 一郎,岡山,8,102778,59.7
2024-02-03,食品・飲料,食品,西村 拓,岡山,58,188427,36.6
2024-02-04,食品・飲料,食品,中村 幸子,島根,29,122770,36.9
2024-02-06,電化製品,家電,岡田 太郎,広島,4,195179,41.7
2024-02-07,農産物（直送）,食品,西村 拓,鳥取,74,655402,53.8
2024-02-07,食品・飲料,食品,岡田 太郎,鳥取,32,98548,34.2
2024-02-11,業務用食材,食品,岡田 太郎,広島,8,213135,47.1
2024-02-14,食品・飲料,食品,西村 拓,島根,70,231137,40.9
2024-02-15,日用品,日用品,松田 恵,鳥取,82,210247,45.8
2024-02-18,日用品,日用品,本田 一郎,広島,84,244736,42.4
2024-02-18,地域特産品,特産品,中村 幸子,広島,6,83306,59.6
2024-02-19,食品・飲料,食品,本田 一郎,広島,97,327905,38.0
2024-02-21,農産物（直送）,食品,松田 恵,鳥取,38,290604,55.7
2024-02-22,業務用食材,食品,西村 拓,鳥取,10,233712,44.8
2024-02-24,日用品,日用品,西村 拓,岡山,15,34951,40.8
2024-02-25,包装・資材,資材,松田 恵,岡山,5,98888,38.3
2024-02-26,業務用食材,食品,西村 拓,島根,10,233197,50.3
2024-02-27,日用品,日用品,西村 拓,島根,41,104671,42.4
2024-02-28,食品・飲料,食品,岡田 太郎,山口,100,388651,41.1
2024-03-02,農産物（直送）,食品,中村 幸子,鳥取,99,963314,56.5
2024-03-03,日用品,日用品,中村 幸子,山口,35,83017,43.4
2024-03-03,農産物（直送）,食品,松田 恵,山口,22,211309,54.0
2024-03-05,農産物（直送）,食品,本田 一郎,岡山,70,527510,57.0
2024-03-05,電化製品,家電,松田 恵,岡山,10,357713,44.9
2024-03-05,業務用食材,食品,松田 恵,岡山,10,276898,44.7
2024-03-05,地域特産品,特産品,西村 拓,鳥取,7,99901,60.8
2024-03-08,農産物（直送）,食品,岡田 太郎,鳥取,71,657536,52.7
2024-03-15,日用品,日用品,本田 一郎,広島,71,188470,43.4
2024-03-19,地域特産品,特産品,中村 幸子,鳥取,5,52880,60.8
2024-03-21,食品・飲料,食品,松田 恵,広島,66,184270,41.2
2024-03-25,業務用食材,食品,中村 幸子,山口,9,186315,45.2
2024-03-26,農産物（直送）,食品,西村 拓,鳥取,24,150221,56.2
2024-03-27,農産物（直送）,食品,岡田 太郎,島根,7,65670,54.4
2024-03-27,日用品,日用品,本田 一郎,岡山,25,68565,43.4
2024-03-28,日用品,日用品,中村 幸子,島根,27,59578,40.1
2024-04-03,食品・飲料,食品,西村 拓,鳥取,35,118181,38.9
2024-04-07,農産物（直送）,食品,松田 恵,島根,7,53229,52.7
2024-04-09,業務用食材,食品,中村 幸子,山口,8,215810,51.4
2024-04-12,電化製品,家電,岡田 太郎,山口,5,213823,45.8
2024-04-13,地域特産品,特産品,中村 幸子,広島,8,84861,59.9
2024-04-18,農産物（直送）,食品,西村 拓,島根,99,740252,56.0
2024-04-18,地域特産品,特産品,松田 恵,山口,2,28871,58.8
2024-04-18,食品・飲料,食品,岡田 太郎,鳥取,76,212738,39.7
2024-04-20,業務用食材,食品,岡田 太郎,広島,3,69529,47.8
2024-04-20,食品・飲料,食品,本田 一郎,岡山,56,190783,36.8
2024-04-20,日用品,日用品,本田 一郎,岡山,83,312292,42.5
2024-04-21,地域特産品,特産品,中村 幸子,山口,2,19953,62.2
2024-04-22,日用品,日用品,本田 一郎,岡山,99,328376,40.4
2024-04-25,地域特産品,特産品,松田 恵,島根,3,35314,57.9
2024-04-26,食品・飲料,食品,岡田 太郎,島根,71,212026,40.3
2024-04-26,地域特産品,特産品,岡田 太郎,広島,8,80140,61.4
2024-04-27,食品・飲料,食品,中村 幸子,島根,81,353235,40.0
2024-05-04,食品・飲料,食品,本田 一郎,広島,84,306405,36.6
2024-05-06,電化製品,家電,岡田 太郎,岡山,6,361268,43.6
2024-05-06,日用品,日用品,松田 恵,山口,56,151288,38.8
2024-05-07,日用品,日用品,中村 幸子,岡山,92,364837,44.4
2024-05-09,日用品,日用品,中村 幸子,鳥取,63,229663,41.5
2024-05-12,食品・飲料,食品,松田 恵,岡山,66,274352,41.3
2024-05-12,農産物（直送）,食品,岡田 太郎,山口,74,709094,51.9
2024-05-13,業務用食材,食品,中村 幸子,岡山,4,128641,46.3
2024-05-13,電化製品,家電,岡田 太郎,広島,1,43114,44.1
2024-05-14,農産物（直送）,食品,西村 拓,島根,91,954497,53.7
2024-05-17,業務用食材,食品,西村 拓,鳥取,8,223992,47.4
2024-05-18,電化製品,家電,岡田 太郎,山口,2,94194,41.4
2024-05-19,農産物（直送）,食品,本田 一郎,鳥取,48,418362,57.7
2024-05-20,日用品,日用品,西村 拓,山口,35,76980,42.6
2024-05-28,電化製品,家電,岡田 太郎,島根,7,331674,42.8
2024-06-04,包装・資材,資材,本田 一郎,広島,2,47728,40.2
2024-06-05,日用品,日用品,岡田 太郎,岡山,41,101811,40.7
2024-06-06,日用品,日用品,本田 一郎,岡山,11,39743,42.2
2024-06-13,日用品,日用品,岡田 太郎,山口,99,233570,38.3
2024-06-13,日用品,日用品,西村 拓,鳥取,95,241346,38.4
2024-06-15,日用品,日用品,西村 拓,山口,74,202834,44.8
2024-06-18,食品・飲料,食品,本田 一郎,鳥取,22,72470,38.2
2024-06-18,食品・飲料,食品,西村 拓,岡山,42,122303,37.5
2024-06-18,業務用食材,食品,西村 拓,島根,8,197352,44.6
2024-06-18,農産物（直送）,食品,岡田 太郎,山口,47,307644,55.6
2024-06-19,業務用食材,食品,松田 恵,広島,6,114620,49.1
2024-06-20,食品・飲料,食品,中村 幸子,広島,72,313637,34.7
2024-06-21,地域特産品,特産品,岡田 太郎,鳥取,10,120675,59.2
2024-06-21,日用品,日用品,岡田 太郎,岡山,82,217613,43.7
2024-06-28,地域特産品,特産品,本田 一郎,岡山,8,86060,59.1
2024-07-03,包装・資材,資材,中村 幸子,岡山,8,122397,38.4
2024-07-06,日用品,日用品,本田 一郎,島根,86,261421,39.8
2024-07-06,食品・飲料,食品,中村 幸子,山口,55,207156,35.2
2024-07-07,包装・資材,資材,西村 拓,広島,5,83176,42.4
2024-07-07,日用品,日用品,岡田 太郎,鳥取,89,318111,44.8
2024-07-08,日用品,日用品,西村 拓,広島,87,286864,44.1
2024-07-09,食品・飲料,食品,岡田 太郎,広島,46,133427,40.2
2024-07-10,食品・飲料,食品,西村 拓,岡山,31,95083,42.0
2024-07-15,食品・飲料,食品,中村 幸子,広島,36,140283,36.0
2024-07-15,日用品,日用品,中村 幸子,広島,87,331063,43.2
2024-07-15,電化製品,家電,本田 一郎,山口,5,202332,43.1
2024-07-17,日用品,日用品,中村 幸子,鳥取,81,183326,43.9
2024-07-18,食品・飲料,食品,松田 恵,岡山,67,285904,37.6
2024-07-18,地域特産品,特産品,西村 拓,鳥取,5,72159,62.4
2024-07-20,食品・飲料,食品,松田 恵,岡山,63,211008,41.0
2024-07-21,日用品,日用品,中村 幸子,島根,85,331043,45.0
2024-07-23,包装・資材,資材,松田 恵,広島,2,33691,42.9
2024-08-02,日用品,日用品,岡田 太郎,山口,58,196237,40.1
2024-08-03,日用品,日用品,本田 一郎,岡山,19,41732,45.8
2024-08-03,食品・飲料,食品,松田 恵,島根,55,173258,37.6
2024-08-07,食品・飲料,食品,松田 恵,広島,96,333424,36.8
2024-08-08,日用品,日用品,中村 幸子,山口,22,54528,39.4
2024-08-11,地域特産品,特産品,西村 拓,鳥取,2,19991,57.9
2024-08-13,食品・飲料,食品,松田 恵,島根,9,32437,37.2
2024-08-14,包装・資材,資材,松田 恵,山口,9,216079,39.5
2024-08-14,農産物（直送）,食品,本田 一郎,島根,27,177341,55.3
2024-08-15,食品・飲料,食品,松田 恵,鳥取,100,369619,42.0
2024-08-16,日用品,日用品,岡田 太郎,岡山,60,167510,40.8
2024-08-17,農産物（直送）,食品,西村 拓,岡山,26,251630,54.4
2024-08-19,地域特産品,特産品,中村 幸子,広島,9,96018,60.8
2024-08-21,業務用食材,食品,松田 恵,広島,10,238287,51.3
2024-08-22,農産物（直送）,食品,松田 恵,鳥取,69,585496,54.5
2024-08-24,業務用食材,食品,中村 幸子,島根,4,97247,50.2
2024-08-26,食品・飲料,食品,西村 拓,広島,79,281177,37.4
2024-08-27,食品・飲料,食品,岡田 太郎,広島,46,164679,39.7
2024-09-01,食品・飲料,食品,本田 一郎,鳥取,39,120490,36.6
2024-09-05,地域特産品,特産品,松田 恵,山口,4,63264,61.0
2024-09-05,地域特産品,特産品,西村 拓,広島,1,11548,58.3
2024-09-07,日用品,日用品,中村 幸子,島根,47,112484,44.0
2024-09-07,地域特産品,特産品,岡田 太郎,鳥取,8,126617,58.8
2024-09-09,農産物（直送）,食品,松田 恵,山口,72,781999,54.5
2024-09-12,食品・飲料,食品,岡田 太郎,広島,51,161545,40.9
2024-09-13,食品・飲料,食品,中村 幸子,広島,40,125565,37.8
2024-09-21,業務用食材,食品,松田 恵,岡山,2,55757,47.9
2024-09-21,農産物（直送）,食品,西村 拓,鳥取,69,603720,53.0
2024-09-22,電化製品,家電,岡田 太郎,広島,3,152492,48.4
2024-09-24,食品・飲料,食品,中村 幸子,広島,44,192838,39.3
2024-09-26,農産物（直送）,食品,中村 幸子,岡山,22,167932,53.7
2024-09-27,日用品,日用品,中村 幸子,岡山,61,214077,44.8
2024-10-04,業務用食材,食品,中村 幸子,岡山,5,144021,44.5
2024-10-05,地域特産品,特産品,中村 幸子,広島,10,152989,61.1
2024-10-07,地域特産品,特産品,本田 一郎,島根,3,32549,62.7
2024-10-08,農産物（直送）,食品,本田 一郎,山口,83,507437,53.2
2024-10-08,食品・飲料,食品,中村 幸子,岡山,6,22575,34.3
2024-10-08,包装・資材,資材,松田 恵,鳥取,8,184255,39.1
2024-10-10,日用品,日用品,西村 拓,広島,9,22472,42.7
2024-10-11,業務用食材,食品,本田 一郎,島根,3,64254,46.4
2024-10-13,食品・飲料,食品,松田 恵,鳥取,65,249249,40.7
2024-10-14,食品・飲料,食品,松田 恵,山口,23,95278,34.2
2024-10-15,業務用食材,食品,本田 一郎,島根,3,57831,46.0
2024-10-15,包装・資材,資材,本田 一郎,岡山,3,45389,36.7
2024-10-17,業務用食材,食品,本田 一郎,島根,7,190309,48.3
2024-10-17,農産物（直送）,食品,岡田 太郎,岡山,95,737870,55.8
2024-10-18,農産物（直送）,食品,中村 幸子,広島,75,554616,57.8
2024-10-19,電化製品,家電,松田 恵,鳥取,1,37425,48.2
2024-10-21,業務用食材,食品,中村 幸子,広島,2,54113,46.5
2024-10-24,業務用食材,食品,本田 一郎,島根,4,116757,46.1
2024-10-25,包装・資材,資材,西村 拓,鳥取,8,132473,41.7
2024-11-02,業務用食材,食品,松田 恵,鳥取,9,283846,47.8
2024-11-02,日用品,日用品,中村 幸子,広島,27,63392,45.9
2024-11-03,地域特産品,特産品,松田 恵,岡山,6,69780,58.2
2024-11-06,食品・飲料,食品,松田 恵,島根,89,301047,42.0
2024-11-07,電化製品,家電,西村 拓,山口,9,433207,46.5
2024-11-11,電化製品,家電,松田 恵,島根,1,46252,48.6
2024-11-14,業務用食材,食品,本田 一郎,島根,6,121359,46.4
2024-11-15,農産物（直送）,食品,本田 一郎,岡山,29,298415,51.9
2024-11-16,農産物（直送）,食品,岡田 太郎,鳥取,50,519064,57.0
2024-11-19,食品・飲料,食品,岡田 太郎,鳥取,85,357732,41.3
2024-11-20,包装・資材,資材,西村 拓,鳥取,2,31399,41.5
2024-11-23,地域特産品,特産品,中村 幸子,島根,9,96548,59.6
2024-11-24,電化製品,家電,岡田 太郎,山口,4,163117,47.7
2024-11-26,日用品,日用品,西村 拓,広島,31,82095,43.8
2024-11-26,食品・飲料,食品,本田 一郎,岡山,48,167253,36.9
2024-11-27,地域特産品,特産品,岡田 太郎,広島,7,79823,62.0
2024-12-02,日用品,日用品,本田 一郎,島根,81,241288,40.0
2024-12-02,電化製品,家電,本田 一郎,鳥取,8,350661,43.4
2024-12-06,農産物（直送）,食品,本田 一郎,山口,95,780659,56.0
2024-12-07,食品・飲料,食品,西村 拓,山口,86,363997,35.6
2024-12-10,地域特産品,特産品,松田 恵,鳥取,2,19086,61.5
2024-12-12,電化製品,家電,岡田 太郎,島根,8,327806,48.1
2024-12-20,地域特産品,特産品,岡田 太郎,島根,3,32564,59.8
2024-12-22,業務用食材,食品,西村 拓,山口,6,126070,51.4
2024-12-26,業務用食材,食品,西村 拓,島根,6,178314,47.3
2024-12-27,業務用食材,食品,中村 幸子,島根,8,152804,44.9
