日付,商品名,カテゴリ,担当者,地域,顧客タイプ,顧客ID,チャネル,数量,売上金額,原価,利益額,利益率(%),キャンペーン
2024-04-08,スタータープラン,SaaS,田中 みゆ,大阪,スタートアップ,SU-0021,Web,5,125105,44639,80466,64.3,
2024-04-10,フリープランUpgrade,SaaS,山田 翔太,東京,中小企業,SU-0200,直販,1,10808,4369,6439,59.6,
2024-04-13,スタータープラン,SaaS,田中 みゆ,その他,中堅企業,SU-0050,直販,5,181798,70592,111206,61.2,
2024-04-14,スタータープラン,SaaS,田中 みゆ,東京,中小企業,SU-0016,Web,4,129405,51002,78403,60.6,
2024-04-15,スタータープラン,SaaS,鈴木 あかり,東京,スタートアップ,SU-0186,Web,4,104673,40287,64386,61.5,
2024-04-15,グロースプラン,SaaS,鈴木 あかり,東京,スタートアップ,SU-0110,Web,1,60165,18787,41378,68.8,
2024-04-18,フリープランUpgrade,SaaS,佐藤 健,その他,スタートアップ,SU-0171,Web,4,32207,13278,18929,58.8,
2024-04-19,フリープランUpgrade,SaaS,鈴木 あかり,その他,スタートアップ,SU-0122,直販,2,16430,6817,9613,58.5,
2024-04-27,スタータープラン,SaaS,田中 みゆ,福岡,スタートアップ,SU-0072,直販,4,103024,38986,64038,62.2,
2024-04-28,スタータープラン,SaaS,田中 みゆ,大阪,スタートアップ,SU-0077,直販,3,71317,26238,45079,63.2,
2024-05-02,スタータープラン,SaaS,佐藤 健,大阪,スタートアップ,SU-0033,Web,5,123144,48450,74694,60.7,
2024-05-02,オンボーディング支援,Service,山田 翔太,大阪,大手企業,SU-0079,直販,1,278133,94139,183994,66.2,
2024-05-06,グロースプラン,SaaS,佐藤 健,福岡,中堅企業,SU-0037,Web,1,102225,32568,69657,68.1,
2024-05-08,グロースプラン,SaaS,佐藤 健,大阪,中小企業,SU-0117,Web,1,78366,25233,53133,67.8,
2024-05-09,エンタープライズ,SaaS,佐藤 健,東京,スタートアップ,SU-0056,直販,1,171045,41541,129504,75.7,
2024-05-11,フリープランUpgrade,SaaS,鈴木 あかり,東京,スタートアップ,SU-0121,Web,3,22122,9296,12826,58.0,
2024-05-12,グロースプラン,SaaS,田中 みゆ,福岡,中堅企業,SU-0145,直販,1,93008,30377,62631,67.3,
2024-05-12,フリープランUpgrade,SaaS,田中 みゆ,大阪,スタートアップ,SU-0028,Web,4,30874,12753,18121,58.7,
2024-05-14,API利用従量課金,SaaS,佐藤 健,福岡,スタートアップ,SU-0199,Web,5,65064,13615,51449,79.1,
2024-05-14,フリープランUpgrade,SaaS,田中 みゆ,その他,スタートアップ,SU-0020,Web,5,37236,14334,22902,61.5,
2024-05-16,スタータープラン,SaaS,田中 みゆ,その他,スタートアップ,SU-0195,Web,5,127580,45718,81862,64.2,
2024-05-16,スタータープラン,SaaS,佐藤 健,その他,中小企業,SU-0170,直販,3,100055,38289,61766,61.7,
2024-05-20,フリープランUpgrade,SaaS,田中 みゆ,福岡,中堅企業,SU-0193,Web,2,22597,9482,13115,58.0,
2024-05-20,フリープランUpgrade,SaaS,佐藤 健,東京,スタートアップ,SU-0088,Web,3,23613,9036,14577,61.7,
2024-05-20,スタータープラン,SaaS,鈴木 あかり,その他,大手企業,SU-0143,直販,1,53002,19979,33023,62.3,
2024-05-21,スタータープラン,SaaS,鈴木 あかり,東京,中小企業,SU-0152,直販,1,31210,11530,19680,63.1,
2024-05-22,フリープランUpgrade,SaaS,山田 翔太,大阪,スタートアップ,SU-0019,直販,4,28719,11588,17131,59.7,
2024-05-24,スタータープラン,SaaS,鈴木 あかり,福岡,中小企業,SU-0065,Web,3,81237,31025,50212,61.8,
2024-06-03,スタータープラン,SaaS,鈴木 あかり,東京,スタートアップ,SU-0004,直販,5,118097,42473,75624,64.0,夏割キャンペーン
2024-06-10,スタータープラン,SaaS,佐藤 健,その他,中堅企業,SU-0069,直販,5,210680,79459,131221,62.3,夏割キャンペーン
2024-06-10,フリープランUpgrade,SaaS,山田 翔太,東京,中小企業,SU-0114,Web,1,9386,3521,5865,62.5,夏割キャンペーン
2024-06-11,スタータープラン,SaaS,鈴木 あかり,大阪,スタートアップ,SU-0097,Web,5,121253,44357,76896,63.4,夏割キャンペーン
2024-06-11,エンタープライズ,SaaS,山田 翔太,その他,スタートアップ,SU-0023,Web,1,172272,45027,127245,73.9,夏割キャンペーン
2024-06-15,グロースプラン,SaaS,山田 翔太,東京,中堅企業,SU-0129,Web,1,113435,37491,75944,66.9,夏割キャンペーン
2024-06-15,スタータープラン,SaaS,佐藤 健,その他,中小企業,SU-0150,Web,4,112200,39707,72493,64.6,夏割キャンペーン
2024-06-16,スタータープラン,SaaS,山田 翔太,東京,中小企業,SU-0113,紹介,3,99551,38405,61146,61.4,夏割キャンペーン
2024-06-17,フリープランUpgrade,SaaS,佐藤 健,その他,中堅企業,SU-0106,Web,4,52493,21761,30732,58.5,夏割キャンペーン
2024-06-17,スタータープラン,SaaS,鈴木 あかり,東京,中小企業,SU-0049,紹介,4,112798,44603,68195,60.5,夏割キャンペーン
2024-06-19,グロースプラン,SaaS,佐藤 健,東京,スタートアップ,SU-0010,Web,1,69573,22077,47496,68.3,夏割キャンペーン
2024-06-19,フリープランUpgrade,SaaS,田中 みゆ,その他,中小企業,SU-0072,Web,4,43612,17371,26241,60.2,夏割キャンペーン
2024-06-22,スタータープラン,SaaS,佐藤 健,大阪,中小企業,SU-0018,Web,5,157824,59418,98406,62.4,夏割キャンペーン
2024-06-22,スタータープラン,SaaS,鈴木 あかり,大阪,スタートアップ,SU-0136,Web,2,43961,16961,27000,61.4,夏割キャンペーン
2024-06-23,スタータープラン,SaaS,田中 みゆ,福岡,スタートアップ,SU-0042,Web,1,24770,9281,15489,62.5,夏割キャンペーン
2024-06-23,オンボーディング支援,Service,佐藤 健,その他,中小企業,SU-0184,Web,1,162050,60530,101520,62.6,夏割キャンペーン
2024-06-26,エンタープライズ,SaaS,田中 みゆ,その他,スタートアップ,SU-0191,Web,1,176967,46052,130915,74.0,夏割キャンペーン
2024-06-27,グロースプラン,SaaS,山田 翔太,福岡,スタートアップ,SU-0059,紹介,1,65008,21568,43440,66.8,夏割キャンペーン
2024-06-28,スタータープラン,SaaS,田中 みゆ,福岡,中小企業,SU-0085,紹介,1,30706,12301,18405,59.9,夏割キャンペーン
2024-06-28,グロースプラン,SaaS,鈴木 あかり,東京,中小企業,SU-0185,Web,1,79215,27013,52202,65.9,夏割キャンペーン
2024-07-03,API利用従量課金,SaaS,鈴木 あかり,大阪,スタートアップ,SU-0030,Web,3,39111,8067,31044,79.4,
2024-07-04,スタータープラン,SaaS,山田 翔太,大阪,スタートアップ,SU-0078,紹介,1,26055,9395,16660,63.9,
2024-07-06,フリープランUpgrade,SaaS,佐藤 健,東京,中小企業,SU-0151,Web,2,17844,7058,10786,60.4,
2024-07-07,エンタープライズ,SaaS,佐藤 健,大阪,スタートアップ,SU-0091,Web,1,163275,43124,120151,73.6,
2024-07-08,グロースプラン,SaaS,山田 翔太,その他,中堅企業,SU-0084,紹介,1,113932,35448,78484,68.9,
2024-07-09,スタータープラン,SaaS,鈴木 あかり,福岡,スタートアップ,SU-0094,Web,5,131045,52893,78152,59.6,
2024-07-12,グロースプラン,SaaS,鈴木 あかり,東京,スタートアップ,SU-0113,Web,1,70116,21892,48224,68.8,
2024-07-12,グロースプラン,SaaS,鈴木 あかり,その他,中堅企業,SU-0072,Web,1,102363,31546,70817,69.2,
2024-07-12,API利用従量課金,SaaS,佐藤 健,その他,中小企業,SU-0019,Web,2,31370,6236,25134,80.1,
2024-07-13,API利用従量課金,SaaS,山田 翔太,福岡,大手企業,SU-0094,Web,5,136184,27064,109120,80.1,
2024-07-19,スタータープラン,SaaS,佐藤 健,福岡,大手企業,SU-0028,Web,4,239930,88559,151371,63.1,
2024-07-19,フリープランUpgrade,SaaS,鈴木 あかり,大阪,中小企業,SU-0196,直販,1,9396,3572,5824,62.0,
2024-07-19,フリープランUpgrade,SaaS,山田 翔太,その他,スタートアップ,SU-0200,Web,4,31388,13338,18050,57.5,
2024-07-21,グロースプラン,SaaS,佐藤 健,東京,中小企業,SU-0150,Web,1,83148,26501,56647,68.1,
2024-07-21,スタータープラン,SaaS,佐藤 健,東京,大手企業,SU-0140,紹介,3,156986,57064,99922,63.7,
2024-07-21,フリープランUpgrade,SaaS,山田 翔太,東京,中堅企業,SU-0024,直販,4,54467,21004,33463,61.4,
2024-07-22,API利用従量課金,SaaS,山田 翔太,その他,中小企業,SU-0003,直販,3,48594,10267,38327,78.9,
2024-07-24,スタータープラン,SaaS,鈴木 あかり,その他,中小企業,SU-0108,直販,5,154540,61468,93072,60.2,
2024-07-26,API利用従量課金,SaaS,鈴木 あかり,東京,スタートアップ,SU-0034,Web,2,24927,4654,20273,81.3,
2024-08-05,エンタープライズ,SaaS,鈴木 あかり,東京,中小企業,SU-0022,紹介,1,206266,49921,156345,75.8,
2024-08-08,スタータープラン,SaaS,山田 翔太,福岡,中小企業,SU-0040,直販,2,64540,24070,40470,62.7,
2024-08-11,スタータープラン,SaaS,鈴木 あかり,東京,スタートアップ,SU-0019,紹介,4,86804,33559,53245,61.3,
2024-08-14,スタータープラン,SaaS,佐藤 健,福岡,中小企業,SU-0187,Web,4,115604,41793,73811,63.8,
2024-08-15,API利用従量課金,SaaS,佐藤 健,大阪,スタートアップ,SU-0056,Web,5,58128,11986,46142,79.4,
2024-08-15,グロースプラン,SaaS,山田 翔太,東京,中堅企業,SU-0169,Web,1,116153,38976,77177,66.4,
2024-08-17,グロースプラン,SaaS,佐藤 健,その他,中小企業,SU-0098,紹介,1,79906,25320,54586,68.3,
2024-08-24,API利用従量課金,SaaS,佐藤 健,大阪,スタートアップ,SU-0024,Web,1,12162,2461,9701,79.8,
2024-08-25,エンタープライズ,SaaS,鈴木 あかり,その他,スタートアップ,SU-0168,直販,1,156558,37651,118907,76.0,
2024-08-25,エンタープライズ,SaaS,山田 翔太,福岡,中小企業,SU-0110,直販,1,175615,42510,133105,75.8,
2024-08-28,グロースプラン,SaaS,田中 みゆ,東京,スタートアップ,SU-0032,Web,1,71016,23044,47972,67.6,
2024-08-28,エンタープライズ,SaaS,鈴木 あかり,その他,中堅企業,SU-0090,Web,1,230810,59649,171161,74.2,
2024-09-01,エンタープライズ,SaaS,田中 みゆ,その他,中小企業,SU-0075,Web,1,182589,44881,137708,75.4,秋の成長支援
2024-09-02,フリープランUpgrade,SaaS,田中 みゆ,福岡,中小企業,SU-0043,直販,5,51074,19678,31396,61.5,秋の成長支援
2024-09-02,グロースプラン,SaaS,佐藤 健,大阪,中小企業,SU-0190,紹介,1,81662,24866,56796,69.6,秋の成長支援
2024-09-02,グロースプラン,SaaS,田中 みゆ,東京,スタートアップ,SU-0122,Web,1,68604,22990,45614,66.5,秋の成長支援
2024-09-03,グロースプラン,SaaS,田中 みゆ,東京,中小企業,SU-0172,直販,1,78578,25003,53575,68.2,秋の成長支援
2024-09-03,エンタープライズ,SaaS,田中 みゆ,福岡,中小企業,SU-0176,紹介,1,175106,42605,132501,75.7,秋の成長支援
2024-09-04,スタータープラン,SaaS,佐藤 健,その他,スタートアップ,SU-0056,直販,3,64841,25254,39587,61.1,秋の成長支援
2024-09-05,API利用従量課金,SaaS,鈴木 あかり,東京,スタートアップ,SU-0050,Web,4,45647,9497,36150,79.2,秋の成長支援
2024-09-06,エンタープライズ,SaaS,鈴木 あかり,東京,スタートアップ,SU-0038,Web,1,146126,37926,108200,74.0,秋の成長支援
2024-09-10,グロースプラン,SaaS,田中 みゆ,福岡,スタートアップ,SU-0182,紹介,1,68638,22487,46151,67.2,秋の成長支援
2024-09-10,スタータープラン,SaaS,田中 みゆ,大阪,スタートアップ,SU-0060,Web,4,92335,37283,55052,59.6,秋の成長支援
2024-09-12,スタータープラン,SaaS,山田 翔太,その他,中堅企業,SU-0118,直販,5,209714,76827,132887,63.4,秋の成長支援
2024-09-13,スタータープラン,SaaS,田中 みゆ,東京,スタートアップ,SU-0158,直販,1,23552,9337,14215,60.4,秋の成長支援
2024-09-13,グロースプラン,SaaS,山田 翔太,東京,中小企業,SU-0079,Web,1,74139,25203,48936,66.0,秋の成長支援
2024-09-15,API利用従量課金,SaaS,田中 みゆ,大阪,スタートアップ,SU-0011,Web,2,23216,4914,18302,78.8,秋の成長支援
2024-09-17,API利用従量課金,SaaS,田中 みゆ,大阪,中小企業,SU-0200,Web,3,48422,10092,38330,79.2,秋の成長支援
2024-09-17,スタータープラン,SaaS,山田 翔太,福岡,スタートアップ,SU-0152,Web,3,70863,25184,45679,64.5,秋の成長支援
2024-09-19,スタータープラン,SaaS,佐藤 健,福岡,中小企業,SU-0115,直販,5,136518,48741,87777,64.3,秋の成長支援
2024-09-19,スタータープラン,SaaS,鈴木 あかり,福岡,スタートアップ,SU-0039,Web,5,113771,44177,69594,61.2,秋の成長支援
2024-09-21,スタータープラン,SaaS,佐藤 健,東京,中小企業,SU-0014,直販,5,142909,54746,88163,61.7,秋の成長支援
2024-09-21,フリープランUpgrade,SaaS,田中 みゆ,福岡,スタートアップ,SU-0147,Web,4,28463,10621,17842,62.7,秋の成長支援
2024-09-24,グロースプラン,SaaS,佐藤 健,大阪,中小企業,SU-0102,紹介,1,76602,23373,53229,69.5,秋の成長支援
2024-09-25,グロースプラン,SaaS,佐藤 健,福岡,スタートアップ,SU-0131,Web,1,67323,22505,44818,66.6,秋の成長支援
2024-10-01,スタータープラン,SaaS,佐藤 健,東京,スタートアップ,SU-0021,Web,4,103122,40009,63113,61.2,
2024-10-02,フリープランUpgrade,SaaS,鈴木 あかり,東京,中小企業,SU-0010,Web,4,37465,14587,22878,61.1,
2024-10-06,スタータープラン,SaaS,田中 みゆ,その他,スタートアップ,SU-0087,直販,5,122968,48765,74203,60.3,
2024-10-08,グロースプラン,SaaS,田中 みゆ,大阪,スタートアップ,SU-0001,直販,1,66358,20002,46356,69.9,
2024-10-08,スタータープラン,SaaS,田中 みゆ,福岡,中堅企業,SU-0112,Web,2,85484,32096,53388,62.5,
2024-10-12,スタータープラン,SaaS,鈴木 あかり,東京,スタートアップ,SU-0092,直販,1,25393,9967,15426,60.7,
2024-10-14,オンボーディング支援,Service,田中 みゆ,その他,スタートアップ,SU-0032,直販,1,131365,45248,86117,65.6,
2024-10-16,エンタープライズ,SaaS,鈴木 あかり,その他,スタートアップ,SU-0074,紹介,1,156446,36402,120044,76.7,
2024-10-17,API利用従量課金,SaaS,山田 翔太,その他,スタートアップ,SU-0140,Web,5,65375,12239,53136,81.3,
2024-10-17,API利用従量課金,SaaS,佐藤 健,東京,中小企業,SU-0095,紹介,4,63269,11907,51362,81.2,
2024-10-18,オンボーディング支援,Service,山田 翔太,東京,スタートアップ,SU-0124,紹介,1,113809,41300,72509,63.7,
2024-10-20,フリープランUpgrade,SaaS,田中 みゆ,東京,スタートアップ,SU-0141,紹介,2,16719,6441,10278,61.5,
2024-10-21,スタータープラン,SaaS,鈴木 あかり,福岡,中堅企業,SU-0065,Web,4,149640,59098,90542,60.5,
2024-10-27,フリープランUpgrade,SaaS,田中 みゆ,東京,スタートアップ,SU-0118,Web,5,40441,16346,24095,59.6,
2024-11-06,グロースプラン,SaaS,田中 みゆ,その他,スタートアップ,SU-0030,Web,1,70176,21254,48922,69.7,
2024-11-10,グロースプラン,SaaS,佐藤 健,その他,スタートアップ,SU-0021,Web,1,65412,20715,44697,68.3,
2024-11-10,エンタープライズ,SaaS,田中 みゆ,大阪,中小企業,SU-0055,紹介,1,180067,47240,132827,73.8,
2024-11-12,グロースプラン,SaaS,田中 みゆ,福岡,スタートアップ,SU-0011,直販,1,65976,21973,44003,66.7,
2024-11-17,フリープランUpgrade,SaaS,佐藤 健,東京,中堅企業,SU-0089,紹介,2,23954,9762,14192,59.2,
2024-11-17,フリープランUpgrade,SaaS,佐藤 健,大阪,大手企業,SU-0116,Web,1,19240,7997,11243,58.4,
2024-11-19,スタータープラン,SaaS,佐藤 健,その他,スタートアップ,SU-0007,Web,4,102309,39158,63151,61.7,
2024-11-21,エンタープライズ,SaaS,佐藤 健,福岡,スタートアップ,SU-0018,Web,1,153946,38848,115098,74.8,
2024-11-23,スタータープラン,SaaS,鈴木 あかり,福岡,スタートアップ,SU-0183,直販,2,47780,17193,30587,64.0,
2024-11-23,グロースプラン,SaaS,田中 みゆ,その他,スタートアップ,SU-0080,Web,1,67964,22732,45232,66.6,
2024-11-24,フリープランUpgrade,SaaS,鈴木 あかり,東京,中小企業,SU-0094,Web,4,35839,14551,21288,59.4,
2024-11-25,グロースプラン,SaaS,山田 翔太,大阪,中小企業,SU-0095,Web,1,80364,25349,55015,68.5,
2024-11-28,スタータープラン,SaaS,佐藤 健,福岡,中堅企業,SU-0023,直販,4,162752,62278,100474,61.7,
2024-11-28,グロースプラン,SaaS,山田 翔太,東京,スタートアップ,SU-0034,Web,1,64117,19954,44163,68.9,
2024-12-01,スタータープラン,SaaS,田中 みゆ,福岡,スタートアップ,SU-0107,直販,5,123259,45540,77719,63.1,年末特典
2024-12-01,API利用従量課金,SaaS,山田 翔太,東京,スタートアップ,SU-0011,直販,5,66459,13796,52663,79.2,年末特典
2024-12-02,スタータープラン,SaaS,田中 みゆ,東京,中堅企業,SU-0196,Web,3,118180,42988,75192,63.6,年末特典
2024-12-03,エンタープライズ,SaaS,佐藤 健,その他,スタートアップ,SU-0074,紹介,1,164329,42504,121825,74.1,年末特典
2024-12-03,グロースプラン,SaaS,田中 みゆ,その他,中小企業,SU-0079,Web,1,88737,27263,61474,69.3,年末特典
2024-12-05,スタータープラン,SaaS,山田 翔太,大阪,中堅企業,SU-0144,直販,3,109036,42418,66618,61.1,年末特典
2024-12-07,グロースプラン,SaaS,鈴木 あかり,福岡,中堅企業,SU-0068,直販,1,105186,32363,72823,69.2,年末特典
2024-12-07,スタータープラン,SaaS,田中 みゆ,東京,大手企業,SU-0094,直販,5,238932,86180,152752,63.9,年末特典
2024-12-11,グロースプラン,SaaS,田中 みゆ,東京,中小企業,SU-0014,Web,1,83270,25293,57977,69.6,年末特典
2024-12-11,フリープランUpgrade,SaaS,田中 みゆ,大阪,中堅企業,SU-0049,Web,1,12473,4782,7691,61.7,年末特典
2024-12-15,グロースプラン,SaaS,鈴木 あかり,大阪,スタートアップ,SU-0120,Web,1,57662,17909,39753,68.9,年末特典
2024-12-15,API利用従量課金,SaaS,佐藤 健,福岡,中小企業,SU-0081,紹介,4,62532,13150,49382,79.0,年末特典
2024-12-16,API利用従量課金,SaaS,鈴木 あかり,その他,中小企業,SU-0185,Web,2,27463,5631,21832,79.5,年末特典
2024-12-16,API利用従量課金,SaaS,田中 みゆ,大阪,大手企業,SU-0105,直販,2,57316,11121,46195,80.6,年末特典
2024-12-17,スタータープラン,SaaS,鈴木 あかり,福岡,中小企業,SU-0039,直販,4,131540,48715,82825,63.0,年末特典
2024-12-18,グロースプラン,SaaS,佐藤 健,東京,スタートアップ,SU-0130,Web,1,58150,17557,40593,69.8,年末特典
2024-12-18,API利用従量課金,SaaS,田中 みゆ,その他,中小企業,SU-0032,直販,3,48438,10304,38134,78.7,年末特典
2024-12-19,スタータープラン,SaaS,佐藤 健,大阪,中小企業,SU-0041,直販,2,63363,24072,39291,62.0,年末特典
2024-12-21,スタータープラン,SaaS,田中 みゆ,福岡,スタートアップ,SU-0153,紹介,4,96199,38332,57867,60.2,年末特典
2024-12-21,スタータープラン,SaaS,鈴木 あかり,大阪,中小企業,SU-0137,Web,5,137242,53060,84182,61.3,年末特典
2024-12-23,API利用従量課金,SaaS,田中 みゆ,福岡,スタートアップ,SU-0181,Web,3,35825,7225,28600,79.8,年末特典
2024-12-23,スタータープラン,SaaS,山田 翔太,大阪,中堅企業,SU-0077,Web,4,152713,57902,94811,62.1,年末特典
2024-12-24,スタータープラン,SaaS,山田 翔太,その他,スタートアップ,SU-0150,Web,4,89993,34942,55051,61.2,年末特典
2024-12-24,グロースプラン,SaaS,山田 翔太,大阪,中小企業,SU-0121,紹介,1,80157,25868,54289,67.7,年末特典
2024-12-27,スタータープラン,SaaS,田中 みゆ,福岡,中小企業,SU-0152,Web,3,88861,31482,57379,64.6,年末特典
2024-12-28,スタータープラン,SaaS,佐藤 健,その他,中小企業,SU-0184,Web,3,81477,30400,51077,62.7,年末特典
