日付,商品名,カテゴリ,担当者,地域,顧客タイプ,顧客ID,チャネル,数量,売上金額,原価,利益額,利益率(%),キャンペーン
2023-02-23,地域特産品,特産品,中村 幸子,鳥取,中堅企業,REG-0063,代理店,8,126677,51040,75637,59.7,春節セール
2023-02-25,日用品,日用品,西村 拓,岡山,官公庁,REG-0082,代理店,78,270412,149005,121407,44.9,春節セール
2023-03-03,食品・飲料,食品,中村 幸子,鳥取,中小企業,REG-0070,直販,51,176308,110148,66160,37.5,
2023-03-06,地域特産品,特産品,松田 恵,岡山,中堅企業,REG-0063,代理店,9,118366,46028,72338,61.1,
2023-03-06,地域特産品,特産品,西村 拓,広島,中小企業,REG-0145,代理店,9,119961,48569,71392,59.5,
2023-03-09,食品・飲料,食品,松田 恵,広島,中小企業,REG-0065,代理店,72,244322,149486,94836,38.8,
2023-03-10,地域特産品,特産品,松田 恵,島根,個人事業主,REG-0102,Web,3,32670,12749,19921,61.0,
2023-03-10,農産物（直送）,食品,本田 一郎,鳥取,個人事業主,REG-0118,直販,30,195785,89585,106200,54.2,
2023-03-11,日用品,日用品,本田 一郎,山口,中堅企業,REG-0102,Web,81,290680,167427,123253,42.4,
2023-03-12,業務用食材,食品,本田 一郎,広島,中小企業,REG-0021,代理店,3,73867,40232,33635,45.5,
2023-03-16,電化製品,家電,本田 一郎,山口,中小企業,REG-0071,直販,7,296228,157145,139083,47.0,
2023-03-19,地域特産品,特産品,中村 幸子,島根,中堅企業,REG-0020,直販,7,108895,42882,66013,60.6,
2023-03-19,日用品,日用品,松田 恵,広島,個人事業主,REG-0111,直販,53,134379,75707,58672,43.7,
2023-03-20,電化製品,家電,西村 拓,鳥取,中小企業,REG-0142,直販,6,238399,129537,108862,45.7,
2023-03-23,地域特産品,特産品,松田 恵,岡山,個人事業主,REG-0005,代理店,5,46189,17431,28758,62.3,
2023-03-26,日用品,日用品,中村 幸子,鳥取,中小企業,REG-0040,直販,39,104395,57213,47182,45.2,
2023-03-28,食品・飲料,食品,岡田 太郎,鳥取,個人事業主,REG-0059,直販,10,28115,18466,9649,34.3,
2023-03-28,農産物（直送）,食品,松田 恵,山口,中小企業,REG-0044,直販,6,48758,23040,25718,52.7,
2023-03-28,農産物（直送）,食品,本田 一郎,広島,官公庁,REG-0077,代理店,33,309717,137016,172701,55.8,
2023-03-28,業務用食材,食品,岡田 太郎,岡山,中小企業,REG-0111,代理店,6,142815,75336,67479,47.2,
2023-04-01,電化製品,家電,松田 恵,広島,中小企業,REG-0129,直販,10,427906,249204,178702,41.8,
2023-04-02,食品・飲料,食品,本田 一郎,広島,中堅企業,REG-0082,直販,62,282222,178602,103620,36.7,
2023-04-02,地域特産品,特産品,岡田 太郎,鳥取,個人事業主,REG-0043,代理店,6,68056,26580,41476,60.9,
2023-04-06,地域特産品,特産品,西村 拓,島根,中小企業,REG-0133,直販,4,47151,18760,28391,60.2,
2023-04-11,食品・飲料,食品,岡田 太郎,鳥取,個人事業主,REG-0136,Web,67,204649,128427,76222,37.2,
2023-04-11,食品・飲料,食品,松田 恵,岡山,中堅企業,REG-0037,直販,98,413685,251037,162648,39.3,
2023-04-12,包装・資材,資材,岡田 太郎,島根,個人事業主,REG-0010,代理店,9,142266,80399,61867,43.5,
2023-04-18,業務用食材,食品,中村 幸子,島根,中小企業,REG-0145,直販,2,44322,23780,20542,46.3,
2023-04-20,日用品,日用品,松田 恵,島根,中小企業,REG-0097,直販,59,161267,93621,67646,41.9,
2023-04-23,日用品,日用品,西村 拓,島根,中堅企業,REG-0045,代理店,84,288347,171271,117076,40.6,
2023-04-24,業務用食材,食品,岡田 太郎,岡山,個人事業主,REG-0111,直販,3,62978,32425,30553,48.5,
2023-04-24,業務用食材,食品,岡田 太郎,島根,中小企業,REG-0067,直販,2,50966,26781,24185,47.5,
2023-04-26,食品・飲料,食品,岡田 太郎,岡山,中小企業,REG-0017,代理店,40,135490,80441,55049,40.6,
2023-04-26,包装・資材,資材,松田 恵,鳥取,中小企業,REG-0018,代理店,5,82206,47962,34244,41.7,
2023-05-02,地域特産品,特産品,松田 恵,山口,個人事業主,REG-0077,Web,4,39317,16424,22893,58.2,
2023-05-02,日用品,日用品,松田 恵,島根,個人事業主,REG-0139,代理店,51,113180,64956,48224,42.6,
2023-05-03,電化製品,家電,本田 一郎,鳥取,個人事業主,REG-0107,直販,5,191966,102303,89663,46.7,
2023-05-16,電化製品,家電,西村 拓,岡山,個人事業主,REG-0045,代理店,9,318398,183503,134895,42.4,
2023-05-17,食品・飲料,食品,松田 恵,鳥取,中小企業,REG-0096,代理店,28,100267,62816,37451,37.4,
2023-05-18,食品・飲料,食品,西村 拓,島根,中小企業,REG-0016,代理店,31,109509,66219,43290,39.5,
2023-05-19,地域特産品,特産品,本田 一郎,岡山,個人事業主,REG-0126,直販,8,77528,30033,47495,61.3,
2023-05-19,電化製品,家電,西村 拓,島根,官公庁,REG-0054,代理店,4,241456,126590,114866,47.6,
2023-05-22,地域特産品,特産品,本田 一郎,岡山,中小企業,REG-0132,Web,5,66663,27731,38932,58.4,
2023-05-22,日用品,日用品,本田 一郎,広島,個人事業主,REG-0125,代理店,77,165648,99894,65754,39.7,
2023-05-23,業務用食材,食品,西村 拓,岡山,官公庁,REG-0034,直販,3,103618,55210,48408,46.7,
2023-05-25,農産物（直送）,食品,松田 恵,島根,中小企業,REG-0145,代理店,63,505307,229702,275605,54.5,
2023-05-27,農産物（直送）,食品,松田 恵,島根,中堅企業,REG-0125,直販,6,57675,25935,31740,55.0,
2023-05-27,業務用食材,食品,中村 幸子,鳥取,中堅企業,REG-0056,Web,7,198334,107874,90460,45.6,
2023-05-28,包装・資材,資材,本田 一郎,鳥取,中小企業,REG-0084,代理店,8,148660,91659,57001,38.3,
2023-06-01,電化製品,家電,西村 拓,岡山,官公庁,REG-0005,代理店,2,104078,53720,50358,48.4,
2023-06-04,包装・資材,資材,松田 恵,島根,中小企業,REG-0023,Web,4,73880,43144,30736,41.6,
2023-06-05,地域特産品,特産品,松田 恵,岡山,中小企業,REG-0095,Web,6,74446,30516,43930,59.0,
2023-06-12,業務用食材,食品,中村 幸子,広島,中堅企業,REG-0093,直販,2,58507,29595,28912,49.4,
2023-06-13,食品・飲料,食品,岡田 太郎,広島,中小企業,REG-0040,代理店,31,103556,63642,39914,38.5,
2023-06-13,地域特産品,特産品,本田 一郎,島根,個人事業主,REG-0107,直販,9,92629,35249,57380,61.9,
2023-06-14,電化製品,家電,中村 幸子,鳥取,中小企業,REG-0031,Web,6,242189,131023,111166,45.9,
2023-06-14,食品・飲料,食品,中村 幸子,岡山,官公庁,REG-0113,直販,25,124182,74857,49325,39.7,
2023-06-16,地域特産品,特産品,本田 一郎,岡山,中小企業,REG-0025,直販,2,24539,9842,14697,59.9,
2023-06-16,業務用食材,食品,岡田 太郎,広島,官公庁,REG-0099,直販,8,261765,145221,116544,44.5,
2023-06-17,業務用食材,食品,中村 幸子,鳥取,個人事業主,REG-0053,代理店,5,101036,49262,51774,51.2,
2023-06-19,包装・資材,資材,松田 恵,山口,官公庁,REG-0100,Web,3,70981,40637,30344,42.7,
2023-06-19,電化製品,家電,松田 恵,山口,中小企業,REG-0036,代理店,2,100006,53574,46432,46.4,
2023-06-20,食品・飲料,食品,岡田 太郎,山口,中小企業,REG-0064,代理店,15,56015,35655,20360,36.3,
2023-06-23,地域特産品,特産品,本田 一郎,岡山,中堅企業,REG-0004,代理店,2,28775,11262,17513,60.9,
2023-06-24,食品・飲料,食品,中村 幸子,岡山,個人事業主,REG-0043,直販,83,271808,171259,100549,37.0,
2023-06-24,電化製品,家電,西村 拓,広島,中堅企業,REG-0043,直販,5,287588,147751,139837,48.6,
2023-07-01,日用品,日用品,西村 拓,岡山,中堅企業,REG-0023,代理店,46,146829,88552,58277,39.7,
2023-07-02,日用品,日用品,西村 拓,山口,中小企業,REG-0092,直販,36,108543,60080,48463,44.6,
2023-07-05,業務用食材,食品,中村 幸子,広島,中小企業,REG-0121,直販,1,25317,13927,11390,45.0,
2023-07-08,業務用食材,食品,松田 恵,鳥取,中堅企業,REG-0053,代理店,2,66641,36945,29696,44.6,
2023-07-09,日用品,日用品,中村 幸子,広島,中堅企業,REG-0084,直販,55,204472,112552,91920,45.0,
2023-07-11,地域特産品,特産品,松田 恵,広島,中小企業,REG-0043,直販,2,24206,10312,13894,57.4,
2023-07-15,包装・資材,資材,本田 一郎,岡山,中堅企業,REG-0141,直販,9,176738,99535,77203,43.7,
2023-07-16,日用品,日用品,松田 恵,島根,中小企業,REG-0148,代理店,96,259776,150661,109115,42.0,
2023-07-17,食品・飲料,食品,本田 一郎,鳥取,個人事業主,REG-0046,直販,11,29339,18101,11238,38.3,
2023-07-17,食品・飲料,食品,松田 恵,山口,中小企業,REG-0060,Web,10,34651,22229,12422,35.8,
2023-07-19,農産物（直送）,食品,本田 一郎,鳥取,個人事業主,REG-0101,直販,86,607599,259283,348316,57.3,
2023-07-22,農産物（直送）,食品,本田 一郎,岡山,中小企業,REG-0027,Web,37,313105,131085,182020,58.1,
2023-07-24,地域特産品,特産品,西村 拓,山口,個人事業主,REG-0064,直販,6,65988,26659,39329,59.6,
2023-07-25,地域特産品,特産品,中村 幸子,島根,中小企業,REG-0127,Web,6,76501,29508,46993,61.4,
2023-07-26,食品・飲料,食品,西村 拓,島根,中小企業,REG-0031,直販,38,118327,76812,41515,35.1,
2023-07-27,食品・飲料,食品,本田 一郎,山口,個人事業主,REG-0139,直販,34,89047,56424,32623,36.6,
2023-08-01,食品・飲料,食品,西村 拓,島根,中小企業,REG-0006,代理店,33,107224,63039,44185,41.2,お盆特売
2023-08-07,地域特産品,特産品,中村 幸子,山口,個人事業主,REG-0110,直販,7,67627,28502,39125,57.9,お盆特売
2023-08-09,食品・飲料,食品,本田 一郎,広島,中堅企業,REG-0022,代理店,52,244459,145151,99308,40.6,お盆特売
2023-08-11,日用品,日用品,西村 拓,島根,官公庁,REG-0046,直販,27,87151,51966,35185,40.4,お盆特売
2023-08-11,包装・資材,資材,中村 幸子,岡山,中小企業,REG-0026,直販,7,133026,79110,53916,40.5,お盆特売
2023-08-15,農産物（直送）,食品,本田 一郎,岡山,中堅企業,REG-0085,直販,16,169235,75443,93792,55.4,お盆特売
2023-08-16,農産物（直送）,食品,岡田 太郎,山口,中小企業,REG-0015,代理店,40,340493,163938,176555,51.9,お盆特売
2023-08-17,日用品,日用品,西村 拓,鳥取,個人事業主,REG-0089,Web,67,150674,81592,69082,45.8,お盆特売
2023-08-18,食品・飲料,食品,松田 恵,広島,個人事業主,REG-0076,直販,36,96502,58851,37651,39.0,お盆特売
2023-08-18,農産物（直送）,食品,岡田 太郎,山口,個人事業主,REG-0045,代理店,45,285674,130154,155520,54.4,お盆特売
2023-08-19,地域特産品,特産品,中村 幸子,広島,官公庁,REG-0016,直販,6,101383,42600,58783,58.0,お盆特売
2023-08-20,包装・資材,資材,中村 幸子,島根,中小企業,REG-0082,Web,10,162897,97685,65212,40.0,お盆特売
2023-08-24,食品・飲料,食品,本田 一郎,島根,中小企業,REG-0076,直販,93,317031,210161,106870,33.7,お盆特売
2023-08-26,電化製品,家電,岡田 太郎,広島,個人事業主,REG-0064,代理店,9,384684,219926,164758,42.8,お盆特売
2023-08-26,包装・資材,資材,本田 一郎,岡山,中小企業,REG-0069,代理店,4,73307,46956,26351,35.9,お盆特売
2023-08-26,包装・資材,資材,松田 恵,島根,個人事業主,REG-0049,代理店,10,145988,87475,58513,40.1,お盆特売
2023-09-03,地域特産品,特産品,西村 拓,鳥取,中小企業,REG-0043,代理店,6,63556,24389,39167,61.6,
2023-09-06,食品・飲料,食品,松田 恵,岡山,中小企業,REG-0027,直販,38,140404,87623,52781,37.6,
2023-09-08,農産物（直送）,食品,松田 恵,山口,官公庁,REG-0122,代理店,92,860114,408876,451238,52.5,
2023-09-09,電化製品,家電,岡田 太郎,広島,中小企業,REG-0068,直販,8,329857,186411,143446,43.5,
2023-09-12,食品・飲料,食品,本田 一郎,鳥取,中小企業,REG-0126,直販,75,236520,153291,83229,35.2,
2023-09-13,地域特産品,特産品,中村 幸子,山口,個人事業主,REG-0024,代理店,5,55718,21879,33839,60.7,
2023-09-14,包装・資材,資材,本田 一郎,鳥取,中小企業,REG-0050,直販,4,66849,41920,24929,37.3,
2023-09-14,業務用食材,食品,中村 幸子,島根,中小企業,REG-0124,代理店,10,273385,135335,138050,50.5,
2023-09-15,地域特産品,特産品,松田 恵,岡山,中小企業,REG-0001,直販,2,26215,10475,15740,60.0,
2023-09-18,食品・飲料,食品,松田 恵,島根,個人事業主,REG-0018,直販,45,128288,77046,51242,39.9,
2023-09-19,日用品,日用品,中村 幸子,岡山,個人事業主,REG-0123,代理店,17,39986,24163,15823,39.6,
2023-09-19,食品・飲料,食品,中村 幸子,島根,個人事業主,REG-0106,Web,74,196954,120181,76773,39.0,
2023-09-20,地域特産品,特産品,中村 幸子,広島,個人事業主,REG-0147,代理店,9,101697,40388,61309,60.3,
2023-09-21,農産物（直送）,食品,西村 拓,広島,個人事業主,REG-0007,直販,17,114866,48907,65959,57.4,
2023-09-24,食品・飲料,食品,岡田 太郎,山口,中小企業,REG-0105,代理店,29,105412,63501,41911,39.8,
2023-10-02,業務用食材,食品,岡田 太郎,鳥取,中小企業,REG-0133,代理店,3,77889,41527,36362,46.7,
2023-10-04,業務用食材,食品,松田 恵,岡山,中小企業,REG-0134,代理店,10,228891,120488,108403,47.4,
2023-10-07,業務用食材,食品,松田 恵,鳥取,中小企業,REG-0023,直販,7,185898,101636,84262,45.3,
2023-10-08,日用品,日用品,中村 幸子,山口,中小企業,REG-0026,Web,67,208951,120226,88725,42.5,
2023-10-09,日用品,日用品,松田 恵,岡山,個人事業主,REG-0122,直販,78,190908,113529,77379,40.5,
2023-10-13,地域特産品,特産品,松田 恵,広島,個人事業主,REG-0067,Web,5,52016,22247,29769,57.2,
2023-10-13,農産物（直送）,食品,西村 拓,鳥取,官公庁,REG-0071,直販,96,938974,420568,518406,55.2,
2023-10-15,農産物（直送）,食品,本田 一郎,山口,中小企業,REG-0015,直販,30,251786,109718,142068,56.4,
2023-10-16,業務用食材,食品,岡田 太郎,鳥取,個人事業主,REG-0008,直販,2,39211,21447,17764,45.3,
2023-10-16,電化製品,家電,西村 拓,山口,中小企業,REG-0061,直販,6,238911,137239,101672,42.6,
2023-10-17,地域特産品,特産品,西村 拓,島根,中堅企業,REG-0150,直販,7,104364,42382,61982,59.4,
2023-10-17,業務用食材,食品,松田 恵,岡山,個人事業主,REG-0017,直販,3,68041,35501,32540,47.8,
2023-10-21,業務用食材,食品,中村 幸子,島根,官公庁,REG-0122,Web,1,34846,17419,17427,50.0,
2023-10-21,日用品,日用品,西村 拓,山口,中小企業,REG-0087,Web,13,34313,20489,13824,40.3,
2023-10-22,業務用食材,食品,中村 幸子,山口,中堅企業,REG-0057,代理店,4,124365,64790,59575,47.9,
2023-10-23,農産物（直送）,食品,本田 一郎,山口,中小企業,REG-0067,代理店,25,177317,74761,102556,57.8,
2023-10-26,地域特産品,特産品,西村 拓,島根,官公庁,REG-0145,代理店,2,34046,14338,19708,57.9,
2023-11-02,業務用食材,食品,中村 幸子,岡山,個人事業主,REG-0136,直販,7,166326,84584,81742,49.1,年末商戦準備
2023-11-04,地域特産品,特産品,岡田 太郎,山口,中小企業,REG-0078,直販,1,12353,5080,7273,58.9,年末商戦準備
2023-11-11,食品・飲料,食品,松田 恵,岡山,官公庁,REG-0134,代理店,63,275830,180624,95206,34.5,年末商戦準備
2023-11-13,日用品,日用品,岡田 太郎,島根,個人事業主,REG-0080,直販,49,111193,60566,50627,45.5,年末商戦準備
2023-11-13,地域特産品,特産品,松田 恵,鳥取,中小企業,REG-0112,代理店,10,116639,43636,73003,62.6,年末商戦準備
2023-11-14,食品・飲料,食品,松田 恵,鳥取,中小企業,REG-0013,代理店,7,22286,13339,8947,40.1,年末商戦準備
2023-11-16,日用品,日用品,西村 拓,島根,中堅企業,REG-0137,代理店,92,294296,162805,131491,44.7,年末商戦準備
2023-11-17,食品・飲料,食品,中村 幸子,広島,中小企業,REG-0083,代理店,6,21890,13812,8078,36.9,年末商戦準備
2023-11-21,日用品,日用品,岡田 太郎,島根,中小企業,REG-0121,直販,20,61971,33785,28186,45.5,年末商戦準備
2023-11-21,食品・飲料,食品,西村 拓,島根,中小企業,REG-0010,直販,88,317102,199188,117914,37.2,年末商戦準備
2023-11-23,包装・資材,資材,中村 幸子,広島,中堅企業,REG-0037,直販,8,172284,105266,67018,38.9,年末商戦準備
2023-11-24,地域特産品,特産品,西村 拓,鳥取,中小企業,REG-0057,直販,2,25659,10021,15638,60.9,年末商戦準備
2023-11-24,日用品,日用品,中村 幸子,岡山,中小企業,REG-0005,直販,56,165608,97258,68350,41.3,年末商戦準備
2023-11-24,農産物（直送）,食品,西村 拓,島根,個人事業主,REG-0025,直販,42,303621,130567,173054,57.0,年末商戦準備
2023-11-25,食品・飲料,食品,中村 幸子,島根,個人事業主,REG-0116,直販,5,15819,9793,6026,38.1,年末商戦準備
2023-11-26,電化製品,家電,本田 一郎,鳥取,中堅企業,REG-0031,直販,9,450850,237544,213306,47.3,年末商戦準備
2023-12-02,業務用食材,食品,岡田 太郎,鳥取,官公庁,REG-0105,直販,6,214204,114320,99884,46.6,
2023-12-02,食品・飲料,食品,岡田 太郎,岡山,個人事業主,REG-0085,Web,35,105386,64229,41157,39.1,
2023-12-06,日用品,日用品,岡田 太郎,鳥取,中堅企業,REG-0014,直販,76,276924,168922,108002,39.0,
2023-12-09,業務用食材,食品,松田 恵,鳥取,中小企業,REG-0103,Web,7,187595,99582,88013,46.9,
2023-12-11,食品・飲料,食品,松田 恵,広島,中小企業,REG-0093,代理店,42,132711,85255,47456,35.8,
2023-12-15,電化製品,家電,西村 拓,山口,中堅企業,REG-0066,代理店,2,107074,55591,51483,48.1,
2023-12-15,食品・飲料,食品,岡田 太郎,山口,中堅企業,REG-0044,直販,89,407753,238400,169353,41.5,
2023-12-16,日用品,日用品,本田 一郎,鳥取,中小企業,REG-0034,直販,8,22081,12024,10057,45.5,
2023-12-18,地域特産品,特産品,本田 一郎,広島,中小企業,REG-0106,直販,7,89882,38284,51598,57.4,
2023-12-19,業務用食材,食品,松田 恵,島根,中小企業,REG-0041,直販,1,26070,12951,13119,50.3,
2023-12-19,農産物（直送）,食品,岡田 太郎,岡山,中小企業,REG-0135,代理店,91,811497,373856,437641,53.9,
2023-12-24,日用品,日用品,中村 幸子,鳥取,個人事業主,REG-0025,直販,94,215437,128037,87400,40.6,
2023-12-27,電化製品,家電,岡田 太郎,鳥取,中小企業,REG-0023,Web,1,41210,21364,19846,48.2,
2023-12-28,業務用食材,食品,松田 恵,鳥取,中小企業,REG-0147,直販,8,191170,106097,85073,44.5,
2024-01-02,業務用食材,食品,中村 幸子,鳥取,個人事業主,REG-0088,直販,8,163144,88010,75134,46.1,
2024-01-02,包装・資材,資材,中村 幸子,鳥取,中小企業,REG-0096,代理店,9,148020,91508,56512,38.2,
2024-01-02,食品・飲料,食品,中村 幸子,山口,中小企業,REG-0038,直販,53,196638,116128,80510,40.9,
2024-01-17,業務用食材,食品,西村 拓,広島,中堅企業,REG-0144,直販,4,132282,67703,64579,48.8,
2024-01-18,日用品,日用品,本田 一郎,山口,中小企業,REG-0076,直販,12,36132,19790,16342,45.2,
2024-01-20,日用品,日用品,西村 拓,山口,中堅企業,REG-0056,直販,75,277473,152658,124815,45.0,
2024-01-21,地域特産品,特産品,西村 拓,広島,官公庁,REG-0129,代理店,3,49729,20065,29664,59.7,
2024-01-23,業務用食材,食品,中村 幸子,山口,個人事業主,REG-0108,Web,7,145103,73793,71310,49.1,
2024-01-24,日用品,日用品,岡田 太郎,山口,中堅企業,REG-0106,代理店,22,80006,46714,33292,41.6,
2024-01-24,農産物（直送）,食品,本田 一郎,島根,官公庁,REG-0128,直販,22,252703,119110,133593,52.9,
2024-01-25,農産物（直送）,食品,中村 幸子,広島,中堅企業,REG-0116,直販,51,470958,221718,249240,52.9,
2024-01-27,電化製品,家電,中村 幸子,広島,個人事業主,REG-0149,直販,3,111649,62271,49378,44.2,
2024-01-27,農産物（直送）,食品,岡田 太郎,山口,官公庁,REG-0107,代理店,95,1077507,479609,597898,55.5,
2024-01-27,地域特産品,特産品,岡田 太郎,広島,中小企業,REG-0012,Web,7,89486,35546,53940,60.3,
2024-01-28,地域特産品,特産品,松田 恵,岡山,中小企業,REG-0051,直販,10,118762,49376,69386,58.4,
2024-02-03,包装・資材,資材,西村 拓,広島,個人事業主,REG-0019,直販,9,127700,77484,50216,39.3,春節セール
2024-02-03,地域特産品,特産品,本田 一郎,岡山,中小企業,REG-0085,直販,8,102778,41445,61333,59.7,春節セール
2024-02-03,食品・飲料,食品,西村 拓,岡山,個人事業主,REG-0140,代理店,58,188427,119496,68931,36.6,春節セール
2024-02-04,食品・飲料,食品,中村 幸子,島根,中堅企業,REG-0083,代理店,29,122770,77470,45300,36.9,春節セール
2024-02-06,電化製品,家電,岡田 太郎,広島,中小企業,REG-0065,直販,4,195179,113846,81333,41.7,春節セール
2024-02-07,農産物（直送）,食品,西村 拓,鳥取,中堅企業,REG-0051,代理店,74,655402,302472,352930,53.8,春節セール
2024-02-07,食品・飲料,食品,岡田 太郎,鳥取,個人事業主,REG-0109,代理店,32,98548,64861,33687,34.2,春節セール
2024-02-11,業務用食材,食品,岡田 太郎,広島,中小企業,REG-0040,直販,8,213135,112775,100360,47.1,春節セール
2024-02-14,食品・飲料,食品,西村 拓,島根,中小企業,REG-0031,直販,70,231137,136502,94635,40.9,春節セール
2024-02-15,日用品,日用品,松田 恵,鳥取,個人事業主,REG-0023,直販,82,210247,113933,96314,45.8,春節セール
2024-02-18,日用品,日用品,本田 一郎,広島,中小企業,REG-0136,直販,84,244736,140867,103869,42.4,春節セール
2024-02-18,地域特産品,特産品,中村 幸子,広島,官公庁,REG-0003,代理店,6,83306,33661,49645,59.6,春節セール
2024-02-19,食品・飲料,食品,本田 一郎,広島,中小企業,REG-0017,代理店,97,327905,203381,124524,38.0,春節セール
2024-02-21,農産物（直送）,食品,松田 恵,鳥取,中小企業,REG-0105,直販,38,290604,128748,161856,55.7,春節セール
2024-02-22,業務用食材,食品,西村 拓,鳥取,個人事業主,REG-0063,Web,10,233712,129101,104611,44.8,春節セール
2024-02-24,日用品,日用品,西村 拓,岡山,個人事業主,REG-0079,直販,15,34951,20685,14266,40.8,春節セール
2024-02-25,包装・資材,資材,松田 恵,岡山,中小企業,REG-0052,代理店,5,98888,61032,37856,38.3,春節セール
2024-02-26,業務用食材,食品,西村 拓,島根,中小企業,REG-0141,直販,10,233197,115895,117302,50.3,春節セール
2024-02-27,日用品,日用品,西村 拓,島根,個人事業主,REG-0007,Web,41,104671,60246,44425,42.4,春節セール
2024-02-28,食品・飲料,食品,岡田 太郎,山口,中小企業,REG-0101,代理店,100,388651,228956,159695,41.1,春節セール
2024-03-02,農産物（直送）,食品,中村 幸子,鳥取,官公庁,REG-0124,Web,99,963314,419190,544124,56.5,
2024-03-03,日用品,日用品,中村 幸子,山口,個人事業主,REG-0026,直販,35,83017,46992,36025,43.4,
2024-03-03,農産物（直送）,食品,松田 恵,山口,中堅企業,REG-0119,代理店,22,211309,97254,114055,54.0,
2024-03-05,農産物（直送）,食品,本田 一郎,岡山,中小企業,REG-0011,Web,70,527510,226746,300764,57.0,
2024-03-05,電化製品,家電,松田 恵,岡山,個人事業主,REG-0002,代理店,10,357713,197142,160571,44.9,
2024-03-05,業務用食材,食品,松田 恵,岡山,中堅企業,REG-0043,代理店,10,276898,153032,123866,44.7,
2024-03-05,地域特産品,特産品,西村 拓,鳥取,中堅企業,REG-0071,代理店,7,99901,39170,60731,60.8,
